"unit_id","type","area","status","price","location","floor_number","transaction_id","customer_id","portfolio_id","monthly_rent"
"110","Apartment","384.03","Reserved","1916442.09","Travismouth","1","","","332.0","30904.38"
"111","Apartment","448.64","Available","1114531.6","Heatherfort","9","6894.0","800.0","345.0",""
"112","Villa","45.15","Reserved","938411.53","Rogersmouth","10","","","330.0","13711.5"
"113","Commercial","85.4","Under Construction","739760.85","East Erica","20","","","366.0",""
"114","Commercial","57.15","Available","1736854.86","South Kristinemouth","7","6651.0","7793.0","328.0",""
"115","Apartment","65.71","Reserved","548059.41","Justinchester","15","","","255.0","11060.38"
"116","Villa","61.21","Sold","705991.58","Elizabethfort","27","","","161.0",""
"117","Villa","272.34","Reserved","2413479.61","Port Adam","29","","","151.0",""
"118","Commercial","398.36","Sold","2196038.12","Moorebury","5","2671.0","231.0","311.0","17381.09"
"119","Commercial","144.94","Reserved","237163.63","South Kelly","9","","","112.0",""
"120","Studio","358.06","Sold","221049.94","East Donnaview","1","","","329.0","46308.87"
"121","Studio","137.87","Under Construction","646441.8","Port Meghanchester","24","17.0","179.0","344.0",""
"122","Apartment","446.15","Reserved","1904110.53","West Ashleyville","1","","","22.0",""
"123","Apartment","382.33","Sold","1451357.58","New Laura","15","","","361.0",""
"124","Apartment","396.47","Available","1631451.82","Derekbury","1","","","",""
"125","Apartment","427.66","Sold","739279.54","Guerraview","26","","","314.0",""
"126","Villa","282.06","Under Construction","1740821.8","Williamsborough","4","916.0","7461.0","397.0",""
"127","Commercial","198.07","Reserved","2205284.56","Coxhaven","25","","","320.0",""
"128","Villa","441.62","Under Construction","1259735.25","South Greg","13","2047.0","5171.0","186.0","33688.69"
"129","Apartment","230.85","Sold","2139205.03","East Susan","30","","","23.0",""
"130","Studio","302.87","Reserved","159692.31","Lemouth","24","","","",""
"131","Commercial","260.0","Sold","92385.3","New Courtney","24","6063.0","497.0","375.0","63168.69"
"132","Villa","171.25","Available","1206418.33","Samanthaborough","30","2265.0","7289.0","379.0","64699.54"
"133","Apartment","54.28","Sold","438426.76","Lake Shaneview","5","","","100.0","34244.99"
"134","Apartment","130.42","Under Construction","877858.49","South Christopher","28","1667.0","141.0","25.0",""
"135","Studio","449.24","Reserved","2072265.37","Port John","13","665.0","895.0","183.0",""
"136","Apartment","401.82","Available","2345783.85","Jessicashire","5","1092.0","4206.0","67.0",""
"137","Apartment","176.49","Under Construction","777838.55","East Pamela","2","2506.0","1785.0","267.0",""
"138","Commercial","132.14","Available","2083786.43","New Jonathanburgh","17","1544.0","7013.0","237.0","55645.94"
"139","Villa","133.01","Available","973634.88","Shawtown","10","","","13.0","42510.09"
"140","Villa","254.18","Under Construction","2227382.93","South Josephport","23","","","5.0",""
"141","Apartment","192.93","Available","2275883.87","Palmerberg","28","","","33.0","37543.93"
"142","Studio","344.74","Reserved","2329123.08","Jorgefurt","6","","","324.0",""
"143","Studio","411.64","Available","189534.52","Colleenport","8","4352.0","3814.0","202.0","19633.53"
"144","Commercial","232.92","Reserved","1107308.01","East Robert","4","","","34.0",""
"145","Villa","300.97","Available","2364537.17","Port Brenda","26","","","241.0","12542.76"
"146","Villa","222.52","Available","521407.04","Williamton","0","","","220.0",""
"147","Villa","406.05","Reserved","2413221.46","East Becky","14","","","50.0",""
"148","Apartment","233.66","Available","304825.23","Paulhaven","10","","","141.0",""
"149","Villa","360.9","Sold","1757996.31","Maryburgh","30","","","196.0",""
"150","Studio","182.19","Sold","2224148.31","Lake Connie","11","3150.0","1020.0","144.0",""
"151","Studio","439.97","Sold","1416741.93","Brendahaven","9","6121.0","3432.0","33.0","46995.32"
"152","Studio","158.47","Available","1482039.79","South William","4","","","321.0",""
"153","Studio","217.45","Reserved","790368.02","Andersonhaven","10","6127.0","1499.0","180.0",""
"154","Studio","62.88","Available","669134.26","Johnmouth","9","","","394.0","19036.95"
"155","Commercial","259.95","Available","1524091.55","Sarahshire","2","","","",""
"156","Commercial","287.56","Available","1001043.45","Timothyport","16","","","165.0",""
"157","Apartment","209.81","Reserved","2093884.15","Johnport","2","","","273.0",""
"158","Commercial","232.64","Under Construction","2470044.66","Lake Rachel","6","","","214.0",""
"159","Studio","217.44","Available","1641473.31","South Stephanieland","23","","","",""
"160","Studio","55.9","Sold","1650682.81","New Melanie","19","","","400.0",""
"161","Commercial","388.34","Sold","2359021.7","Yolandahaven","26","5837.0","5759.0","146.0","79796.37"
"162","Villa","152.1","Reserved","1459656.66","Martinberg","30","5677.0","5251.0","112.0",""
"163","Commercial","222.05","Available","1431352.83","New Craigchester","18","6880.0","2018.0","86.0",""
"164","Studio","100.34","Sold","2147566.45","Medinashire","16","","","384.0","73127.24"
"165","Studio","221.61","Sold","737053.16","Laurashire","28","","","56.0",""
"166","Apartment","93.45","Available","1725223.82","West Andrewland","11","","","22.0",""
"167","Studio","164.58","Under Construction","2278369.5","East Amanda","11","6257.0","4149.0","146.0",""
"168","Studio","313.47","Sold","1631929.05","East Anthony","12","6958.0","228.0","40.0","46514.56"
"169","Studio","54.0","Available","2333209.97","South Erinbury","7","","","7.0",""
"170","Apartment","295.59","Under Construction","2485451.86","Lake Matthew","20","4198.0","5565.0","270.0",""
"171","Villa","258.0","Under Construction","1789771.69","Emilyside","11","1031.0","3689.0","178.0","8271.93"
"172","Commercial","297.17","Sold","1923391.55","Callahanport","26","641.0","1698.0","85.0",""
"173","Commercial","358.08","Under Construction","1936773.55","Williamfort","16","","","91.0","21197.48"
"174","Studio","439.79","Sold","2488196.2","Brittanyfort","12","4930.0","4951.0","330.0","9745.29"
"175","Apartment","423.63","Available","759150.53","North Juliatown","2","6896.0","1175.0","382.0","56385.59"
"176","Villa","175.32","Under Construction","2420998.09","West Nicole","4","569.0","5740.0","366.0",""
"177","Commercial","77.12","Available","1269479.7","Rodriguezbury","23","","","269.0",""
"178","Commercial","212.64","Sold","848757.46","Lisamouth","29","","","334.0",""
"179","Commercial","302.9","Available","371086.57","Seanborough","5","","","60.0",""
"180","Commercial","332.41","Sold","2452450.7","Hallport","13","","","230.0",""
"181","Commercial","368.89","Under Construction","2157041.04","Christinafurt","23","","","","31332.39"
"182","Studio","169.83","Reserved","1316768.47","West Michaelport","6","","","209.0",""
"183","Commercial","53.98","Reserved","2366127.43","Ayerston","0","761.0","5063.0","12.0",""
"184","Studio","94.67","Sold","2262381.95","Lake Johnborough","0","3302.0","3220.0","46.0",""
"185","Apartment","69.69","Available","2065431.07","East Rebeccaside","17","","","",""
"186","Villa","98.06","Available","143422.45","West Jennifer","20","","","","58681.2"
"187","Studio","151.31","Sold","1800515.57","Lake Anitastad","17","","","","46186.48"
"188","Studio","80.16","Reserved","2333718.68","Cherylmouth","13","","","254.0",""
"189","Studio","222.71","Reserved","1849395.83","Brendaport","19","","","60.0",""
"190","Commercial","242.92","Reserved","1530685.61","South Sharonton","8","","","387.0",""
"191","Villa","160.65","Available","540882.74","Kevinville","26","","","205.0",""
"192","Studio","260.17","Reserved","1128536.48","Michelleville","9","","","354.0","33648.6"
"193","Studio","314.12","Under Construction","1741741.25","West Ronald","2","","","196.0","7489.92"
"194","Apartment","175.58","Under Construction","1058823.15","Maddenville","21","","","",""
"195","Apartment","75.21","Reserved","627957.12","Lake Jonathan","26","","","376.0","7924.78"
"196","Commercial","448.44","Under Construction","1854565.15","Ellischester","2","","","243.0",""
"197","Apartment","71.29","Sold","99610.98","West Daniel","8","","","378.0",""
"198","Studio","333.5","Sold","1126020.81","West Darylville","8","","","",""
"199","Villa","361.52","Reserved","2312516.29","Port Bobby","6","","","100.0",""
"200","Apartment","283.71","Reserved","508415.64","Codyville","17","","","113.0","63446.75"
"201","Villa","431.66","Available","1471566.65","Schwartzchester","17","","","121.0",""
"202","Villa","318.03","Reserved","876813.0","Marytown","14","","","48.0",""
"203","Studio","193.33","Under Construction","1849903.52","Port Annette","14","","","34.0","74510.6"
"204","Studio","296.03","Under Construction","1985127.38","Christinaport","2","3061.0","6101.0","277.0",""
"205","Villa","106.23","Reserved","569299.77","West Natalieland","5","3169.0","4221.0","298.0","44434.64"
"206","Commercial","108.27","Under Construction","1605737.92","New Olivia","5","","","126.0","26165.64"
"207","Commercial","363.49","Under Construction","2029870.35","West Janet","4","","","1.0",""
"208","Villa","227.47","Reserved","492986.06","East Ashley","16","","","244.0",""
"209","Studio","303.41","Reserved","2482328.19","Jeremymouth","30","","","119.0","51316.91"
"210","Commercial","49.85","Sold","92370.24","Port William","8","","","329.0","28347.51"
"211","Villa","116.25","Under Construction","2041975.46","Lake Jo","20","","","263.0",""
"212","Apartment","385.59","Under Construction","683615.99","Jonathanchester","23","4094.0","1067.0","273.0",""
"213","Apartment","170.14","Reserved","628805.07","North Bradley","16","4291.0","2601.0","95.0",""
"214","Villa","411.98","Sold","1281490.87","East Austinstad","30","","","169.0",""
"215","Villa","307.3","Reserved","1067931.11","Johnsonchester","11","3263.0","1943.0","236.0","51957.08"
"216","Studio","195.13","Under Construction","882212.17","Kingstad","14","1569.0","4788.0","",""
"217","Villa","298.31","Sold","1498102.09","Mezaside","20","","","227.0","26308.12"
"218","Apartment","96.98","Available","953012.9","Ashleyfurt","0","1233.0","7762.0","",""
"219","Apartment","207.31","Reserved","1590276.62","East Cassandramouth","20","1915.0","4931.0","6.0","73504.19"
"220","Studio","50.02","Sold","646969.48","Martinside","9","5407.0","6141.0","71.0","18722.41"
"221","Apartment","243.45","Sold","1102766.98","Brianmouth","28","","","",""
"222","Villa","337.55","Available","643918.99","North Kim","14","","","78.0",""
"223","Villa","281.72","Under Construction","2215450.3","Murrayburgh","13","","","269.0","73211.51"
"224","Apartment","432.9","Under Construction","1944489.82","Griffinland","5","","","19.0",""
"225","Commercial","410.98","Reserved","624600.64","New Wanda","3","","","230.0",""
"226","Villa","117.0","Under Construction","65895.81","Lake Heather","0","","","329.0",""
"227","Studio","328.34","Sold","2346794.61","Carlosstad","16","","","222.0",""
"228","Villa","112.58","Under Construction","1610511.76","Lake Christophershire","3","","","245.0",""
"229","Commercial","344.78","Available","2322654.88","North Leefort","23","","","138.0",""
"230","Commercial","303.45","Reserved","2427219.65","East Nicholasland","8","","","334.0",""
"231","Apartment","178.04","Reserved","907324.91","Jacobstad","23","","","339.0",""
"232","Studio","260.35","Reserved","989579.61","Weaverport","19","3627.0","7717.0","163.0",""
"233","Apartment","35.59","Under Construction","1842841.46","Claytonborough","25","5903.0","7817.0","",""
"234","Commercial","346.96","Under Construction","1880087.78","Wallmouth","30","5734.0","7442.0","349.0",""
"235","Apartment","178.18","Available","1329609.21","Amymouth","3","6232.0","882.0","324.0",""
"236","Studio","184.39","Under Construction","89289.18","West Monica","7","","","307.0","46746.12"
"237","Villa","86.36","Available","246101.24","Maureenshire","18","","","","61417.93"
"238","Commercial","38.95","Reserved","2399570.69","Mooretown","26","","","373.0",""
"239","Commercial","248.83","Under Construction","2458390.26","Dicksonfort","12","","","97.0",""
"240","Commercial","59.07","Under Construction","1479647.39","Russellburgh","12","502.0","6825.0","346.0","30548.85"
"241","Apartment","385.05","Under Construction","934995.7","Cherrychester","1","","","187.0","23797.06"
"242","Apartment","390.88","Reserved","967900.07","Burgessmouth","8","","","303.0",""
"243","Apartment","41.99","Available","1006208.3","Lake Josephborough","20","1303.0","7985.0","",""
"244","Apartment","306.63","Sold","673180.87","South Stephenbury","10","3119.0","4715.0","35.0",""
"245","Villa","214.27","Reserved","188952.09","North Kristin","0","","","154.0",""
"246","Villa","279.06","Available","1902922.56","Roytown","21","","","37.0","35411.75"
"247","Studio","209.4","Under Construction","266292.12","East Brucemouth","5","","","287.0","19347.51"
"248","Apartment","99.19","Sold","1230135.03","Lake Josephfurt","2","","","280.0",""
"249","Apartment","254.64","Sold","2374903.32","Elizabethside","10","","","389.0",""
"250","Villa","65.39","Under Construction","1519676.53","Snyderstad","26","","","389.0",""
"251","Commercial","253.5","Under Construction","1314771.09","New Antonio","18","","","",""
"252","Apartment","397.36","Under Construction","553569.25","Raymondstad","18","6971.0","4906.0","120.0",""
"253","Studio","51.92","Available","1697065.19","Alexburgh","15","","","294.0","30231.97"
"254","Studio","42.3","Under Construction","665866.32","East Lisatown","0","6042.0","4535.0","104.0",""
"255","Apartment","163.37","Available","1561254.02","Boothhaven","28","","","236.0","17116.52"
"256","Commercial","206.42","Under Construction","1232064.84","North Judy","10","1948.0","4003.0","57.0","38902.04"
"257","Apartment","439.19","Sold","161485.38","East Raymond","28","6832.0","1244.0","116.0",""
"258","Studio","429.65","Under Construction","1475746.17","Brianton","21","3110.0","5189.0","71.0",""
"259","Studio","365.23","Reserved","1104461.91","Johnsonmouth","25","975.0","1724.0","322.0",""
"260","Villa","223.34","Available","2204349.92","Mooreton","24","5685.0","6699.0","256.0",""
"261","Villa","406.81","Reserved","634787.76","Colleenburgh","26","","","269.0","19142.38"
"262","Studio","240.94","Available","2255678.72","Brianmouth","12","","","",""
"263","Apartment","168.78","Reserved","1647435.81","East Justinbury","11","","","287.0","57819.53"
"264","Apartment","358.15","Sold","1431614.92","Port Marthastad","17","","","157.0","34586.59"
"265","Studio","436.31","Available","1547760.35","Gilbertport","4","","","208.0","59370.96"
"266","Studio","178.17","Available","1691375.49","Matthewtown","15","4324.0","2984.0","132.0",""
"267","Apartment","141.99","Reserved","650487.45","Andreatown","18","4668.0","3044.0","",""
"268","Villa","331.61","Reserved","1327417.1","Laurabury","7","","","33.0",""
"269","Commercial","318.56","Available","710124.3","Lisashire","23","","","151.0",""
"270","Apartment","283.47","Sold","1137637.44","North Christinaville","11","","","216.0",""
"271","Commercial","282.74","Sold","762655.34","Johnsonberg","21","","","79.0","58374.27"
"272","Villa","369.46","Sold","686795.36","West Brianmouth","26","","","80.0",""
"273","Apartment","159.76","Available","1669827.96","South Sharonton","15","","","80.0",""
"274","Villa","323.67","Under Construction","1775044.23","Port Angelabury","12","","","170.0",""
"275","Commercial","318.32","Under Construction","1012378.91","East Monicastad","9","","","79.0","34008.88"
"276","Studio","140.75","Reserved","434242.56","New Andrew","15","1361.0","4536.0","279.0",""
"277","Commercial","322.42","Sold","278312.53","Lisaside","21","170.0","4009.0","174.0",""
"278","Studio","424.18","Available","2075381.44","Kathymouth","19","1007.0","4742.0","209.0",""
"279","Villa","390.86","Reserved","2271338.6","Jennaberg","0","","","186.0",""
"280","Villa","204.57","Under Construction","2124416.77","Michaelview","6","","","298.0",""
"281","Studio","100.6","Available","103022.4","Port Stephanieburgh","30","","","346.0",""
"282","Commercial","360.73","Under Construction","233251.79","New Jennifer","23","","","310.0",""
"283","Villa","445.24","Under Construction","1703251.25","Port Teresafurt","16","","","","61262.18"
"284","Commercial","137.01","Under Construction","1700970.22","New Michael","15","","","","7284.72"
"285","Commercial","382.7","Reserved","465579.03","Valerietown","17","","","213.0",""
"286","Commercial","324.4","Sold","599977.23","Mendozastad","16","","","",""
"287","Commercial","63.41","Reserved","1229659.51","East Patrickmouth","28","","","185.0",""
"288","Apartment","105.25","Sold","1837137.77","Dillontown","8","","","236.0","22055.0"
"289","Commercial","177.13","Available","1440226.17","Melissaside","5","2526.0","7737.0","121.0",""
"290","Apartment","153.26","Under Construction","976070.88","South Kimberly","13","","","88.0",""
"291","Apartment","373.48","Available","489064.13","Coxchester","3","2188.0","2657.0","297.0","10247.32"
"292","Commercial","171.27","Sold","1089723.08","Wolfburgh","29","","","34.0","45242.11"
"293","Commercial","189.56","Available","1985283.67","Vargasberg","9","3492.0","6673.0","152.0",""
"294","Apartment","51.32","Sold","1107830.47","Vaughnmouth","24","","","","33051.45"
"295","Apartment","303.75","Sold","2417376.82","Mcclurefurt","23","","","6.0","42788.53"
"296","Studio","444.55","Sold","790511.02","Whitefort","11","","","26.0",""
"297","Commercial","47.81","Sold","455874.76","West Kaitlyn","27","1855.0","2448.0","363.0","34029.49"
"298","Villa","166.28","Available","287782.62","Angelaburgh","30","","","180.0",""
"299","Apartment","214.55","Under Construction","878383.64","East Donview","30","","","104.0",""
"300","Studio","85.89","Under Construction","775486.97","Brandonside","26","","","222.0",""
"301","Apartment","402.87","Sold","790019.72","Elizabethport","24","","","127.0","58260.61"
"302","Commercial","289.0","Under Construction","1096593.85","Russellburgh","1","","","122.0",""
"303","Commercial","134.2","Under Construction","954086.01","Thomasport","14","3447.0","4814.0","239.0","49000.15"
"304","Commercial","180.56","Available","576496.26","Lake Williamchester","17","","","",""
"305","Commercial","83.33","Sold","2205429.0","Port Alicia","4","","","20.0","37463.79"
"306","Commercial","294.46","Available","1251505.38","South Shaneville","3","","","311.0",""
"307","Commercial","397.12","Under Construction","1389990.39","Alisonstad","11","","","30.0","40539.39"
"308","Commercial","418.71","Under Construction","1813239.51","Meganchester","24","","","46.0",""
"309","Studio","81.29","Reserved","485375.93","Toddmouth","15","","","315.0","63821.34"
"310","Villa","381.88","Reserved","1385717.53","Sethfort","27","","","66.0","46138.6"
"311","Commercial","297.25","Available","1125833.65","West Mary","28","","","221.0",""
"312","Apartment","317.28","Under Construction","315779.08","East Teresa","17","","","277.0",""
"313","Apartment","433.93","Available","1887879.32","Lake Darleneton","25","","","218.0","51969.24"
"314","Studio","166.27","Available","444340.94","Coreyside","7","3525.0","2752.0","123.0",""
"315","Apartment","204.88","Available","1670863.01","Peggyton","11","","","147.0","52161.94"
"316","Commercial","193.8","Sold","1552551.66","Andreaburgh","9","4408.0","3248.0","25.0","65844.87"
"317","Commercial","45.91","Available","1154021.57","West Rodney","21","1551.0","1042.0","205.0","61650.2"
"318","Villa","261.65","Available","1646116.42","Port Justinberg","8","","","396.0","43267.41"
"319","Apartment","446.63","Sold","183822.76","East Kathy","1","","","139.0",""
"320","Commercial","238.78","Available","273970.55","Lake Jennifershire","4","","","62.0",""
"321","Apartment","101.31","Sold","988443.96","New Andrea","24","","","186.0","15821.05"
"322","Commercial","434.93","Sold","2369634.95","Port Alisha","8","","","254.0","29544.33"
"323","Apartment","300.5","Sold","1357695.64","West Ambermouth","9","","","57.0","65984.61"
"324","Studio","295.39","Available","50618.51","Lynchburgh","3","5644.0","2460.0","61.0",""
"325","Apartment","351.72","Available","1879777.9","Stewartton","7","4443.0","6404.0","176.0",""
"326","Villa","246.53","Reserved","2262151.48","New Jocelynhaven","30","","","351.0",""
"327","Commercial","412.01","Reserved","1333583.61","Lake Brian","5","","","",""
"328","Studio","287.32","Reserved","2491479.08","Lake Kathleen","17","","","207.0","26710.34"
"329","Apartment","169.72","Available","497796.06","Joneshaven","28","","","","72085.89"
"330","Apartment","343.96","Sold","308824.98","Sarahtown","21","","","37.0","78614.32"
