"portfolio_id","portfolio_name","description","Due_Date","escrow","estate_cost"
"48","Balanced VR","Here first responsibility service their along attention piece TV young.","2026-12-21","387773.92","2519598.42"
"49","Speculative FB","Set region beyond coach federal.","2023-12-01","266139.09","2194950.99"
"50","Income CU","Fall hear certainly most not.","2027-03-02","22455.37","628667.99"
"51","Speculative LK","Bad that people drive tree central.","2025-10-03","25400.3","3218411.02"
"52","Growth OQ","Effort act source top quality citizen kid generation onto.","2026-07-06","164034.43","2591996.39"
"53","Balanced BS","Lead few yourself table blood high grow.","2025-01-19","454707.57","1321531.92"
"54","LongTerm SS","Within probably ever not.","2026-09-17","211087.63","3802200.58"
"55","Income XV","Treat seat strategy total simply.","2024-10-09","122111.1","477201.56"
"56","Growth WO","Per question return process stuff pick.","2027-08-21","151978.21","889984.31"
"57","Balanced OP","Final kid often run bed.","2025-01-18","465551.85","4059789.86"
"58","LongTerm UV","Compare car much will most tree store either station.","2025-11-04","320367.84","4370156.89"
"59","LongTerm ZS","Sound life away senior difficult put purpose however.","2027-05-23","403799.32","1014193.29"
"60","Income ZJ","Bed house enough buy happy see energy herself.","2026-07-05","447353.91","2742776.99"
"61","Balanced RO","Agent this no trip determine as statement travel few.","2025-07-13","405645.68","4490847.37"
"62","Income HI","Watch fight manage best thought.","2024-05-15","165821.7","639254.43"
"63","LongTerm YD","Provide sea watch industry score choice increase between.","2025-11-16","121688.23","2192828.16"
"64","LongTerm NA","Allow have kitchen wear talk between rate.","2026-02-09","410827.24","4317579.86"
"65","Growth PW","Huge couple business summer lawyer.","2026-08-12","13406.54","2602661.78"
"66","LongTerm NP","Wife anything four writer skin day stop never only spend.","2024-10-13","214531.39","1188328.27"
"67","Balanced VX","Small other everyone worker would music.","2027-03-11","68734.03","1754314.34"
"68","Speculative LH","Capital group small open administration.","2024-12-03","472025.75","1683694.37"
"69","Growth DI","Moment second live sing message board mean war analysis.","2027-02-15","264207.4","3544792.9"
"70","Growth QH","Leader who article look husband rather make.","2027-08-31","188178.51","4861732.21"
"71","Balanced CE","Focus chance call person one.","2026-10-28","481599.17","1333733.25"
"72","Balanced UY","Most law painting between reduce table prepare shoulder result Democrat.","2025-09-18","253651.77","1574303.72"
"73","Income OA","Still human role fine fine effort well rather.","2025-10-23","149571.84","280746.04"
"74","Growth EF","Behavior benefit school speech news.","2026-04-16","308686.52","2563127.21"
"75","Income JJ","Prove improve them wait institution trouble anything explain.","2025-02-14","35224.59","1465367.67"
"76","LongTerm WG","Medical choice lot suggest glass news boy everything difficult investment.","2026-03-07","455050.28","1273853.26"
"77","Growth XN","Push news participant price really ahead event several TV go consider.","2024-05-27","80998.49","2498318.53"
"78","Growth KQ","Attorney scientist will begin most heavy law church.","2025-02-13","492968.72","1286070.83"
"79","Speculative UU","Other third choose senior anyone bank kitchen interest parent increase.","2024-09-16","339346.42","3831936.12"
"80","Growth WG","Generation book question or money.","2025-02-08","126442.4","3668260.11"
"81","LongTerm CO","Worker area daughter war should share face build.","2025-11-28","190213.74","3198298.57"
"82","Income VB","Can mouth discover next property government.","2025-06-25","320429.56","2725295.95"
"83","Income VC","Affect TV television office of remember individual boy again.","2025-03-05","54241.99","4192982.23"
"84","Speculative KZ","Least ready gun join black job hundred bad that second develop.","2027-02-09","167182.23","1013940.7"
"85","LongTerm KE","Plan most create simply go when population challenge bill eight.","2024-07-13","29979.82","2995375.42"
"86","Income MJ","Concern significant management senior service.","2025-09-14","342006.54","181280.36"
"87","Balanced RK","Follow wife firm key light place someone option goal avoid left.","2023-12-15","260925.6","1209829.3"
"88","LongTerm DX","Baby ten talk past medical leg never.","2027-03-01","326134.67","954395.5"
"89","LongTerm VC","Training occur could painting may whatever late specific study.","2026-10-31","348559.49","1995003.2"
"90","Speculative FG","Always remain yard model particular hair.","2027-09-12","468997.69","773852.63"
"91","Income SY","Simple quickly appear piece free form newspaper hit.","2024-11-12","177122.51","656020.25"
"92","LongTerm UQ","Their four old center glass whose recognize hot organization visit.","2025-02-09","463099.87","4398962.83"
"93","Income JY","Spend prove stock school rate money position interest.","2025-05-02","136391.4","3333921.83"
"94","Balanced BX","Congress degree way main difficult case baby.","2027-05-21","410438.88","2820483.98"
"95","Speculative YG","Side strong this also from short capital heavy class.","2027-05-01","269528.78","1285076.23"
"96","Balanced SX","Speak close join improve put down know expect security large move.","2025-02-09","55620.36","4496357.21"
"97","Speculative ZY","Tough create question now key show sing me industry.","2024-06-25","451204.85","3202197.14"
"98","Speculative MI","Appear lose he various represent middle by.","2024-02-25","176124.6","1811126.92"
"99","Growth WK","Last message store begin treat stage this.","2027-10-02","365718.28","4495840.27"
"100","Income BA","How hear history bank different.","2025-02-24","444672.35","3921390.17"
"101","Income GT","Social case expert stop receive catch relationship large.","2023-10-26","324595.51","512285.83"
"102","Growth FB","Democratic change vote participant institution simply down.","2024-04-24","89198.07","4502915.52"
"103","Balanced DP","Police performance artist student matter movie place offer responsibility.","2025-01-12","307150.24","145065.55"
"104","Growth BA","Good number cost property model guess well name skill medical after.","2027-07-05","59721.06","3351158.67"
"105","LongTerm EC","Wonder effect administration small general run pick sign.","2026-12-03","12480.18","887959.45"
"106","LongTerm WV","And national spend compare single let.","2026-10-02","278879.56","3490286.47"
"107","Income EO","Specific as simply leader fall analysis.","2024-08-22","329461.02","1198919.62"
"108","LongTerm CU","Middle writer myself education send course ground.","2027-02-11","358967.82","1262520.53"
"109","Income DP","Event son join hundred keep what fund cost.","2026-09-27","169445.85","3757807.89"
"110","Growth FX","Entire bar interesting issue yet Congress family bill foreign fast.","2025-09-09","328320.12","4261194.71"
"111","Growth MT","Coach know language risk treatment past itself police social.","2024-01-15","332230.32","2884712.16"
"112","Growth EQ","Guy song quickly well central parent sit alone.","2024-01-30","55900.64","1901807.43"
"113","Income PX","Gun we allow check last he know baby.","2024-05-18","139949.16","1295549.25"
"114","Growth HX","Fire everything whether ago control military trial brother.","2027-02-02","486775.17","2026178.85"
"115","Growth QT","Democrat partner really your customer career available common require.","2024-03-02","447102.81","3192579.27"
"116","Balanced ZR","Property remember nearly face feel church remember record.","2024-07-14","399457.54","2562921.76"
"117","Growth YX","Difference world society door management guess occur level work candidate.","2027-07-22","292682.9","2513336.7"
"118","LongTerm FE","Huge response long improve important offer by.","2025-02-21","105669.06","3640015.36"
"119","Income PE","Letter military campaign stop necessary onto should can me.","2027-06-27","147578.46","219148.24"
"120","Balanced DH","Check clearly follow remember generation wait thus suffer economy play.","2026-02-19","326281.42","967842.33"
"121","Speculative RI","Field move maybe collection walk child probably result painting successful nor.","2027-04-21","470824.71","4774250.03"
"122","Income BF","We side enough decision occur.","2026-06-04","458283.55","1913777.63"
"123","LongTerm OB","Threat nation politics few each southern image law read.","2024-06-19","17573.74","4648760.96"
"124","Income CA","Less future century technology floor write generation human set.","2025-12-25","219810.23","4836608.61"
"125","LongTerm JG","Drop business last cell anything war ten industry.","2027-06-23","482173.79","4279746.33"
"126","LongTerm KU","Return couple city you level these market bed hotel lead.","2024-10-25","154279.96","1986978.87"
"127","Speculative NL","Any example our successful pull experience account blue.","2024-05-13","427056.97","1652917.83"
"128","Income QU","Shake hand hundred now crime network available mean.","2027-01-17","93051.45","2828326.19"
"129","Speculative JR","Quite budget window hour some fund voice sense current meeting matter.","2023-12-27","468715.84","3510546.0"
"130","Speculative CI","Sound mind chance throw cause use five hotel.","2026-06-01","289329.97","576164.82"
"131","Income VT","From stock mother remember feel staff happy purpose woman on.","2027-03-08","311353.54","4951263.87"
"132","Growth US","Ago listen whose situation simply officer return on color pick people.","2027-05-16","78641.17","2639815.3"
"133","Growth YJ","All way body affect finish charge real.","2025-07-16","439912.81","3729766.23"
"134","Speculative GX","Turn their save artist catch debate foot production moment finish community.","2027-09-03","351537.71","3542172.01"
"135","Balanced IV","Great sign return poor really particular court east newspaper different.","2025-01-22","186150.66","1538600.04"
"136","Speculative XS","Real major look night various return.","2025-01-07","406586.97","4069555.63"
"137","Speculative HK","Here woman stand west source fact explain research get kind.","2024-11-19","434865.44","4574878.71"
"138","Speculative VE","Dark Mrs usually receive case past.","2026-04-16","260557.78","2557429.84"
"139","Growth PP","Prove most point appear including.","2026-11-05","401164.64","3284823.26"
"140","Growth EG","Accept nearly upon imagine various there.","2025-10-28","353963.77","3999384.08"
"141","Growth PM","Fly position traditional become off movement rich.","2027-10-12","446102.62","1756176.27"
"142","Speculative CL","Think compare try young however many view while unit.","2027-07-10","194035.65","560511.51"
"143","Balanced CA","Nothing blue work expect writer myself management.","2027-10-15","293357.27","276117.14"
"144","Growth IG","Evening speak former room possible responsibility add front far.","2026-08-30","238143.03","2758958.71"
"145","Income WM","Particularly police if into foreign husband.","2024-03-14","150405.21","2995082.98"
"146","Income LI","Food easy end dog send west few reveal activity.","2026-07-29","24945.12","283006.12"
"147","Income XS","Artist brother fill if maybe time region.","2025-02-12","413074.27","1864934.14"
"148","LongTerm SH","Happen determine whatever long lawyer writer health.","2026-10-12","72259.65","2658991.97"
"149","Income WI","Seven quite other skin moment month.","2025-05-02","387296.84","1157523.03"
"150","Speculative EK","Article natural measure of change.","2025-03-10","315216.33","518202.58"
"151","Income HC","Quite response major together knowledge.","2024-01-12","35324.04","2703637.69"
"152","Balanced DI","Indeed nor next pull final against effort able design authority.","2025-08-06","274911.21","3223406.52"
"153","Speculative WS","Must art thus worry line.","2025-01-05","365784.75","4881675.19"
"154","Income AL","She within position inside year him.","2027-06-29","262987.17","1682486.72"
"155","Growth YY","Radio product much president girl.","2024-07-21","399641.24","1427078.03"
"156","Speculative IZ","Camera without strong series without leg rest interest here discover.","2025-10-02","225096.0","484436.27"
"157","LongTerm WJ","Country themselves she allow produce past view.","2027-07-30","22421.86","4816977.23"
"158","Growth BP","Attack order land public the each.","2023-12-25","419630.26","3510273.61"
"159","Growth ZC","Music senior simply cell year doctor trouble.","2026-03-30","210386.94","949142.17"
"160","LongTerm UK","Significant stand down then worry miss including every news option.","2026-12-03","86654.15","1326190.2"
"161","Growth LO","New another general poor high modern recent impact feel.","2024-07-29","279121.07","3601520.02"
"162","Growth WI","Drive different tax certain leg arm include indicate morning.","2025-06-12","333496.71","1471676.1"
"163","Income PQ","Form bad last he movie stop.","2024-01-06","477883.99","3715694.89"
"164","Income RY","Owner them could seven right next look thank four whatever.","2023-11-10","281633.49","3097431.66"
"165","Speculative NM","Section senior trial receive region however.","2024-10-23","215604.03","1313881.85"
"166","Speculative JU","Herself move grow end mention market better.","2026-11-13","184426.61","3813445.94"
"167","Speculative EW","Trial have including none determine certainly end various.","2026-04-04","17052.81","668755.94"
"168","Income UA","Charge form here street material pressure range.","2024-11-20","32541.29","299571.13"
"169","Speculative WF","Leave run goal cause national contain threat wrong whatever.","2026-01-08","429175.69","3547923.51"
"170","Growth CE","Share include successful discuss religious.","2023-11-01","242345.18","579387.39"
"171","Income NG","Health pay project pattern low maintain according necessary activity.","2026-01-17","250891.78","2420011.68"
"172","Speculative UR","Within admit spend purpose south travel blood benefit chance court.","2026-01-12","94868.92","2225873.08"
"173","Growth QW","Some bad where learn during recently feel.","2027-04-26","205267.32","3117665.48"
"174","Speculative FP","Behavior here need argue act.","2024-07-10","321195.89","321989.65"
"175","Balanced FF","Population former with wind thus try discover top realize.","2026-03-16","193560.18","3166713.59"
"176","Speculative ER","Under range exactly myself probably.","2024-07-22","256536.77","4296800.22"
"177","Balanced UB","Onto sell require huge baby class.","2024-10-25","332759.88","898378.69"
"178","Speculative KY","Forward sense cause write right may window approach join stuff.","2025-03-30","44578.69","3247854.46"
"179","LongTerm MX","Western however similar ahead event yeah make green wait it quickly.","2026-08-09","22990.54","2970300.35"
"180","Speculative YF","Far east available environmental here six child hope guess before wall.","2025-09-07","470712.82","2919823.47"
"181","Income XW","Bill beautiful issue news mention billion bed.","2026-02-24","200203.26","3252112.27"
"182","Income FM","Six tell activity including single right nice yeah drug minute.","2026-09-16","234543.92","2773522.27"
"183","Balanced YK","Especially environmental certainly cold every feel.","2027-02-14","471317.76","1991902.93"
"184","Income EX","Want result many pattern leader career according.","2025-06-23","480983.38","4536218.15"
"185","Growth VN","Sound forget friend spring teacher wind carry fly.","2026-10-02","105937.66","439870.37"
"186","LongTerm ME","Concern huge five same plan whose site for.","2024-12-26","59381.22","189286.95"
"187","LongTerm YZ","Box nor or nation race nearly well left.","2026-10-22","56277.05","3446733.19"
"188","Growth NC","Story attorney summer some pull cause field.","2024-11-13","44882.44","1662980.59"
"189","Balanced QJ","Smile available wrong look husband media turn reality myself.","2027-02-27","423988.9","214032.49"
"190","Growth XS","Order trial body eat professor coach partner none population position.","2026-12-30","409089.56","1481088.4"
"191","Growth VY","Black better develop section newspaper reach determine hear leg.","2026-09-07","67900.77","3514012.11"
"192","LongTerm LS","Character young lot far turn beat story role give.","2025-04-02","318181.99","4399612.87"
"193","Speculative DY","Miss give best reveal laugh attack.","2023-12-26","370184.81","4037056.56"
"194","LongTerm ZT","Against gas body son upon.","2026-12-11","148196.94","969453.76"
"195","LongTerm PH","Necessary former interview left something picture.","2024-08-02","377801.23","4053490.22"
"196","Income OQ","How scene third last involve above Democrat everything region.","2027-03-07","495347.52","2121826.62"
"197","Growth EK","Son Mr hand culture box.","2026-08-24","192288.86","3904423.51"
"198","LongTerm FH","Others particularly only girl suddenly pay sport relationship.","2025-01-22","176993.73","4660710.9"
"199","Growth NL","Public finish draw bring health.","2024-05-24","430622.25","2202070.73"
"200","Income GY","Others offer institution main Mr try us community cold.","2025-01-08","377926.82","3797260.08"
"201","Growth IL","Success people tend weight machine crime himself no.","2026-07-28","60530.7","4522509.24"
"202","LongTerm FA","Indeed style major bar air set factor ever Mrs.","2024-07-05","257573.66","4149641.58"
"203","Growth XD","Score she near both box simple statement happen state among.","2026-11-07","166824.3","4488063.82"
"204","Income CI","Wrong bill stop seem fear yourself.","2025-09-15","200708.82","153104.49"
"205","Speculative QW","Keep yes simply down specific.","2026-04-18","453637.17","547304.72"
"206","Growth SW","Plan coach cause deal deal arrive go exactly much food region.","2025-01-09","166463.68","4755303.64"
"207","LongTerm KR","World quickly believe while size try yeah term camera tend.","2024-11-08","475797.5","2909845.65"
"208","Income JT","Stock seven put majority officer environmental increase later.","2026-06-28","319600.23","2297383.06"
"209","LongTerm YX","Idea seek reason theory lawyer.","2025-11-14","153673.28","1710456.27"
"210","LongTerm UL","Than suggest behavior will.","2026-06-30","339534.04","3786635.19"
"211","Growth QS","Sure somebody huge why station manager follow exist.","2026-02-14","397873.73","3969128.9"
"212","LongTerm KI","System small thus several animal phone student administration upon citizen.","2025-09-26","54690.99","2522659.49"
"213","Growth AB","Yet travel think few themselves theory.","2024-03-10","38203.79","2792691.52"
"214","Speculative PX","Bar professor power appear personal rise sense.","2025-08-14","226349.95","4449750.5"
"215","LongTerm PF","Ability live car difficult quite.","2023-11-01","181948.36","673628.38"
"216","LongTerm VH","Really local director become south billion happen federal him.","2027-04-03","80065.92","3831402.1"
"217","Balanced WI","Attention none particular clearly goal defense.","2026-12-23","312926.85","595501.11"
"218","Balanced JA","Rather team beautiful beyond sell operation himself white fire cause everybody.","2024-02-25","51212.33","3534748.74"
"219","Income PJ","Outside parent single real summer probably feeling military meeting security.","2025-01-19","45653.87","4127114.29"
"220","Balanced PD","Manager both matter order month within would.","2027-10-07","356058.69","498609.03"
"221","Income UI","Team nothing half raise several west side admit.","2024-01-30","51570.48","4934533.93"
"222","Balanced AQ","Always art smile media pick may.","2025-07-24","193392.69","1916146.52"
"223","Speculative BS","Bar Mr pattern everyone finally memory data space.","2026-01-28","408271.79","4741518.03"
"224","Income UZ","Plant strong race at recognize role suffer around beat its.","2025-09-21","493140.52","3791553.11"
"225","Balanced NM","Finally score scientist budget remain.","2026-10-11","194367.2","509153.51"
"226","Speculative AK","Well mission situation result cold camera sit environmental though.","2027-01-28","390801.99","2836180.82"
"227","Balanced BV","Evening ask Republican office baby lawyer growth matter note.","2025-05-11","217868.78","4541136.49"
"228","Growth XG","Purpose boy scientist able teach activity animal hair turn condition.","2027-06-11","64486.77","2513863.01"
"229","Speculative CJ","Different eat trouble floor step number budget pull apply.","2024-09-28","15563.29","2396437.15"
"230","LongTerm ZH","West attention let executive suddenly.","2025-03-09","37588.61","682207.79"
"231","LongTerm FJ","Account customer nor fight performance less option management significant.","2024-08-16","67587.86","3281130.48"
"232","Growth UI","Character usually agency must player really act.","2025-03-21","375561.99","2958506.95"
"233","Growth AW","Support road billion morning draw man art young.","2026-10-27","481464.55","1936865.84"
"234","LongTerm RF","Tv today mind red head.","2026-12-22","149998.92","4356135.73"
"235","Income FL","Measure PM hour option artist.","2026-08-12","119561.96","4819790.44"
"236","LongTerm IP","End fire song red save fish evening.","2024-02-11","15955.69","4852406.25"
"237","Balanced MI","Board black last finish building group show later leg system.","2024-03-06","31148.36","4466601.26"
"238","Income KZ","Step recent American structure foreign before eat.","2025-04-22","268573.54","4965527.5"
"239","Balanced ZG","Quality employee wrong all identify.","2025-09-19","46160.32","2813885.99"
"240","Growth JV","Economic left sound cause activity store work candidate statement head.","2026-06-23","484958.24","2663179.44"
"241","Income PF","Only true avoid young cup position speak begin suggest speak.","2024-04-25","318405.33","3509168.58"
"242","Balanced CD","Collection off start house ahead.","2026-09-13","232725.12","3175034.59"
"243","Balanced BL","Democrat cost evidence third alone people early far.","2025-07-19","296314.01","4515674.25"
"244","Income JE","Because him information poor something.","2024-11-08","32268.73","1476719.63"
"245","Speculative OZ","Some writer site grow name machine tree maybe home conference.","2025-02-24","475701.63","4462292.54"
"246","LongTerm MO","Time sing around yard morning.","2027-01-21","233271.81","3138649.73"
"247","Balanced LO","Beyond prevent entire staff true argue.","2024-09-22","145916.78","1021793.68"
"248","LongTerm KZ","Great stuff suddenly compare or south recently trial.","2023-11-30","237212.22","1831425.92"
"249","LongTerm TS","Way nor none could write think man finally.","2025-11-17","295991.49","480899.72"
"250","Growth CF","Discussion despite money a truth.","2024-08-25","487453.46","4932432.65"
"251","LongTerm ZI","Response try such food against only true similar.","2027-05-24","352099.24","2726872.2"
"252","Balanced HX","Health walk how big few.","2024-05-16","161668.53","4087595.6"
"253","Growth KU","Social whether power company why really up skin development.","2026-04-19","345518.27","896823.0"
"254","Income LY","Safe family concern ability reduce of surface.","2027-01-27","456354.32","4130432.49"
"255","Balanced KC","Own TV whose determine not view.","2024-05-23","475401.96","3656025.59"
"256","Growth VV","Draw word collection those become.","2026-10-23","310573.45","2149390.88"
"257","Growth QO","Land enter economic attack either blue ability history.","2026-11-29","467036.96","4343713.06"
"258","LongTerm AK","Manage her national big look tell prepare reach.","2024-06-26","32157.15","229198.18"
"259","Income CE","Far five weight avoid color.","2025-05-23","194467.05","4071711.32"
"260","Balanced KU","Natural together behavior order party.","2025-11-05","493765.3","837042.77"
"261","Balanced TB","Wall close threat church big day couple recent reveal.","2026-11-24","301124.05","1966365.2"
"262","LongTerm IQ","Father benefit hotel near make approach about.","2024-03-02","485258.05","4226382.72"
"263","Income SQ","Outside current agent color factor bank such final however major produce.","2024-03-07","420781.07","2396596.48"
"264","Balanced PI","Continue those hard knowledge enjoy let difficult environmental.","2024-01-21","213261.56","1439694.65"
"265","Income JW","Beat gas must wife operation.","2026-02-23","37623.99","4337139.64"
"266","Balanced DY","Industry movement term little think live bad total research maybe.","2027-08-16","408321.49","4998616.6"
"267","LongTerm HZ","Quality per build serious common worker will speak call interest.","2026-09-13","498352.05","2821615.36"
"268","Speculative BM","Challenge organization floor road southern beautiful news need task mind true.","2023-11-06","386803.83","4729352.08"
"269","Balanced YS","Onto site both change note old who beyond black single size.","2027-06-26","426327.22","1312005.7"
"270","Growth IW","Enough pressure occur list common idea peace race.","2025-07-03","230766.63","732881.13"
"271","Growth CZ","Real any little environmental head full soldier financial.","2027-05-19","477485.0","3070255.71"
"272","Speculative FS","Win direction feel season similar.","2025-02-27","122034.97","3391333.35"
"273","Balanced RU","Painting become kid tree imagine machine might hear argue.","2027-02-28","312882.84","1854997.32"
"274","Growth KE","Remember idea sister modern notice community themselves.","2024-08-24","65643.22","3390708.66"
"275","Growth DP","Lead truth relate ever statement.","2025-12-10","264950.77","3884360.12"
"276","Balanced ZO","Race drop major land whether listen.","2026-02-20","264880.12","4275689.35"
"277","Income WW","Study else store bed agree anyone.","2027-06-05","280434.35","2848596.06"
"278","Balanced KX","Tax positive question especially important after.","2027-02-11","439560.27","2077066.04"
"279","Income XR","Listen car community song.","2024-09-29","75667.46","241035.11"
"280","Speculative QM","Require remember every time surface learn design.","2025-01-29","380017.26","3139516.8"
"281","LongTerm RH","However bill memory production successful hear positive participant fear blue as.","2024-12-20","354999.09","1143524.39"
"282","Speculative OU","End represent throughout federal change she tonight.","2027-03-22","76822.02","171268.86"
"283","LongTerm ZZ","Identify floor cause agent market fast trade identify say on.","2026-03-24","181787.9","2990596.67"
"284","Growth MV","Rather point little wait grow feel color.","2026-08-04","202199.58","2243627.12"
"285","Growth JL","Best campaign else space several consumer quite.","2025-03-22","453037.76","1806451.79"
"286","Growth PF","Great season film small former end family.","2027-06-01","261854.85","3939899.76"
"287","Income HE","Term on want author threat.","2025-12-03","204305.96","3148224.83"
"288","LongTerm HR","Morning including that character yeah garden would throughout.","2025-09-27","432558.22","4752651.06"
"289","Growth JU","Single maintain piece computer play above.","2024-12-15","82066.01","4640279.36"
"290","Balanced NW","Office citizen size sister can its.","2025-08-15","251136.98","1365397.5"
"291","LongTerm ZB","Himself also current health add focus street course quality.","2026-06-17","234976.52","4902159.62"
"292","LongTerm UP","Really general can himself open cold statement.","2025-01-23","251382.87","1710882.89"
"293","Income SD","Others full thousand yet garden top grow could way truth.","2025-07-05","320366.42","1276713.53"
"294","Speculative BO","Road capital safe operation college hand practice.","2023-12-15","47173.03","731510.64"
"295","Income YO","Side perhaps order answer blue structure answer.","2024-04-14","72742.46","844323.2"
"296","Growth AC","Buy education reduce day rate act inside big.","2026-01-03","78025.31","3240286.25"
"297","Balanced RN","Red industry together memory pay executive size marriage participant sing.","2027-05-01","99121.24","1793769.69"
"298","Balanced HM","Region far always many debate value former able.","2026-08-26","449426.32","2422412.04"
"299","Growth FH","Protect chance bed memory rich big eight discuss write fast.","2025-10-08","337103.29","944367.37"
"300","Balanced DG","Them system growth quality international break.","2027-06-01","104221.62","300256.22"
"301","Income WC","System professional color group.","2025-08-27","92778.18","1465092.66"
"302","Income NR","Head garden box hundred lead.","2027-05-08","96735.14","534642.42"
"303","Growth YS","Son power someone both receive around wall city indeed.","2026-04-22","69111.58","2357815.96"
"304","Balanced EZ","Question consider here grow agreement range stuff wind candidate turn.","2024-04-10","111103.52","1884922.32"
"305","LongTerm AC","As pressure actually than modern.","2026-12-16","256674.46","3482934.66"
"306","Speculative KU","Difference what their mind read peace item risk loss professional.","2026-07-10","29262.95","4017110.95"
"307","LongTerm YJ","Throughout party activity various measure light many close seem fly.","2025-03-15","317671.19","500619.26"
"308","Income RD","Development poor idea dog learn soon large task language.","2024-04-19","438053.53","4612274.76"
"309","Income FV","Bill include news a.","2024-03-07","39928.2","1456700.48"
"310","Income YM","Point three none pressure lay future stay staff such forward should.","2026-05-06","405038.63","3766472.48"
"311","Income ET","Respond box service develop game stop who factor.","2026-01-05","100415.3","1125811.68"
"312","Growth GC","Manage state score important effect cultural.","2024-04-22","191531.33","2474162.63"
"313","Income ZN","Station course full serious another plan public but through.","2025-09-27","312944.84","1907676.83"
"314","Balanced QL","Care material morning any very stuff lot meet TV.","2024-07-19","236642.01","3762607.6"
"315","Speculative SL","Room campaign hold over third mean.","2025-06-06","27974.77","1336941.03"
