"payment_method_number","type"
"161","Credit Card"
"162","Online"
"163","Online"
"164","Bank Transfer"
"165","Credit Card"
"166","Cash"
"167","Bank Transfer"
"168","Online"
"169","Bank Transfer"
"170","Cash"
"171","Online"
"172","Cheque"
"173","Cheque"
"174","Credit Card"
"175","Bank Transfer"
"176","Online"
"177","Credit Card"
"178","Bank Transfer"
"179","Cash"
"180","Online"
"181","Bank Transfer"
"182","Online"
"183","Bank Transfer"
"184","Cash"
"185","Online"
"186","Cheque"
"187","Cash"
"188","Bank Transfer"
"189","Online"
"190","Cash"
"191","Bank Transfer"
"192","Cheque"
"193","Cheque"
"194","Bank Transfer"
"195","Cheque"
"196","Cash"
"197","Cheque"
"198","Credit Card"
"199","Cheque"
"200","Credit Card"
"201","Online"
"202","Cash"
"203","Online"
"204","Online"
"205","Cheque"
"206","Cheque"
"207","Cheque"
"208","Online"
"209","Cash"
"210","Cash"
"211","Credit Card"
"212","Bank Transfer"
"213","Cash"
"214","Cheque"
"215","Credit Card"
"216","Cheque"
"217","Online"
"218","Online"
"219","Cheque"
"220","Cash"
"221","Bank Transfer"
"222","Cheque"
"223","Cash"
"224","Credit Card"
"225","Cheque"
"226","Credit Card"
"227","Cash"
"228","Cash"
"229","Cash"
"230","Cash"
"231","Online"
"232","Cash"
"233","Online"
"234","Bank Transfer"
"235","Online"
"236","Credit Card"
"237","Bank Transfer"
"238","Credit Card"
"239","Cheque"
"240","Cheque"
"241","Online"
"242","Credit Card"
"243","Cheque"
"244","Cheque"
"245","Cheque"
"246","Bank Transfer"
"247","Bank Transfer"
"248","Cash"
"249","Credit Card"
"250","Cheque"
"251","Credit Card"
"252","Cash"
"253","Online"
"254","Cash"
"255","Cheque"
"256","Online"
"257","Online"
"258","Cash"
"259","Cheque"
"260","Online"
"261","Cash"
"262","Cash"
"263","Cheque"
"264","Cash"
"265","Cash"
"266","Cash"
"267","Credit Card"
"268","Bank Transfer"
"269","Credit Card"
"270","Cash"
"271","Bank Transfer"
"272","Online"
"273","Credit Card"
"274","Credit Card"
"275","Credit Card"
"276","Cheque"
"277","Cash"
"278","Online"
"279","Online"
"280","Online"
"281","Cash"
"282","Bank Transfer"
"283","Credit Card"
"284","Cash"
"285","Credit Card"
"286","Cash"
"287","Credit Card"
"288","Cash"
"289","Bank Transfer"
"290","Online"
"291","Credit Card"
"292","Cash"
"293","Bank Transfer"
"294","Bank Transfer"
"295","Online"
"296","Cash"
"297","Credit Card"
"298","Cheque"
"299","Bank Transfer"
"300","Bank Transfer"
"301","Online"
"302","Cash"
"303","Cheque"
"304","Cheque"
"305","Cheque"
"306","Cash"
"307","Credit Card"
"308","Bank Transfer"
"309","Cash"
"310","Cheque"
"311","Bank Transfer"
"312","Bank Transfer"
"313","Cheque"
"314","Cheque"
"315","Bank Transfer"
"316","Online"
"317","Bank Transfer"
"318","Credit Card"
"319","Credit Card"
"320","Online"
"321","Cash"
"322","Bank Transfer"
"323","Credit Card"
"324","Bank Transfer"
"325","Online"
"326","Cheque"
"327","Online"
"328","Online"
"329","Online"
"330","Credit Card"
"331","Online"
"332","Cheque"
"333","Cheque"
"334","Cheque"
"335","Cash"
"336","Online"
"337","Cheque"
"338","Cash"
"339","Online"
"340","Online"
"341","Bank Transfer"
"342","Online"
"343","Bank Transfer"
"344","Credit Card"
"345","Credit Card"
"346","Cash"
"347","Bank Transfer"
"348","Credit Card"
"349","Credit Card"
"350","Credit Card"
"351","Online"
"352","Bank Transfer"
"353","Credit Card"
"354","Bank Transfer"
"355","Cheque"
"356","Cheque"
"357","Online"
"358","Cheque"
"359","Cash"
"360","Bank Transfer"
"361","Credit Card"
"362","Cash"
"363","Cash"
"364","Cheque"
"365","Bank Transfer"
"366","Credit Card"
"367","Cash"
"368","Online"
"369","Credit Card"
"370","Cheque"
"371","Bank Transfer"
"372","Online"
"373","Credit Card"
"374","Credit Card"
"375","Cash"
"376","Credit Card"
"377","Bank Transfer"
"378","Bank Transfer"
"379","Credit Card"
"380","Cash"
"381","Online"
"382","Online"
"383","Cash"
"384","Cheque"
"385","Bank Transfer"
"386","Cheque"
"387","Cash"
"388","Cheque"
"389","Cash"
"390","Online"
"391","Online"
"392","Cheque"
"393","Cheque"
"394","Bank Transfer"
"395","Online"
"396","Bank Transfer"
"397","Cheque"
"398","Cash"
"399","Online"
"400","Cash"
"401","Bank Transfer"
"402","Bank Transfer"
"403","Credit Card"
"404","Online"
"405","Online"
"406","Bank Transfer"
"407","Cash"
"408","Online"
"409","Bank Transfer"
"410","Credit Card"
"411","Cheque"
"412","Online"
"413","Cheque"
"414","Cash"
"415","Credit Card"
"416","Online"
"417","Cheque"
"418","Cheque"
"419","Bank Transfer"
"420","Cheque"
"421","Cash"
"422","Cheque"
"423","Cash"
"424","Cash"
"425","Bank Transfer"
"426","Credit Card"
"427","Cash"
"428","Cheque"
"429","Cheque"
"430","Cash"
"431","Cheque"
"432","Online"
"433","Bank Transfer"
"434","Cheque"
"435","Bank Transfer"
"436","Cash"
"437","Cash"
"438","Cash"
"439","Bank Transfer"
"440","Cheque"
"441","Online"
"442","Bank Transfer"
"443","Online"
"444","Cheque"
"445","Cheque"
"446","Bank Transfer"
"447","Credit Card"
"448","Online"
"449","Cash"
"450","Online"
"451","Cheque"
"452","Cheque"
"453","Bank Transfer"
"454","Credit Card"
"455","Cash"
"456","Online"
"457","Credit Card"
"458","Cash"
"459","Cheque"
"460","Cheque"
"461","Bank Transfer"
"462","Bank Transfer"
"463","Online"
"464","Credit Card"
"465","Credit Card"
"466","Cash"
"467","Online"
"468","Bank Transfer"
"469","Online"
"470","Cheque"
"471","Bank Transfer"
"472","Credit Card"
"473","Bank Transfer"
"474","Cheque"
"475","Bank Transfer"
"476","Credit Card"
"477","Cheque"
"478","Cash"
"479","Online"
"480","Cash"
"481","Cheque"
"482","Cheque"
"483","Cheque"
"484","Credit Card"
"485","Cheque"
"486","Online"
"487","Credit Card"
"488","Cheque"
"489","Credit Card"
"490","Online"
"491","Online"
"492","Credit Card"
"493","Bank Transfer"
"494","Cash"
"495","Cheque"
"496","Cash"
"497","Online"
"498","Cash"
"499","Bank Transfer"
"500","Cash"
"501","Cash"
"502","Online"
"503","Online"
"504","Cheque"
"505","Credit Card"
"506","Cheque"
"507","Online"
"508","Cheque"
"509","Cash"
"510","Cash"
"511","Online"
"512","Online"
"513","Cheque"
"514","Cheque"
"515","Cash"
"516","Credit Card"
"517","Credit Card"
"518","Online"
"519","Cheque"
"520","Credit Card"
"521","Cheque"
"522","Bank Transfer"
"523","Cash"
"524","Cheque"
"525","Cheque"
"526","Cheque"
"527","Credit Card"
"528","Cheque"
"529","Bank Transfer"
"530","Credit Card"
"531","Online"
"532","Online"
"533","Cash"
"534","Bank Transfer"
"535","Cheque"
"536","Bank Transfer"
"537","Online"
"538","Cheque"
"539","Bank Transfer"
"540","Credit Card"
"541","Cheque"
"542","Credit Card"
"543","Bank Transfer"
"544","Cheque"
"545","Cash"
"546","Cash"
"547","Online"
"548","Cheque"
"549","Bank Transfer"
"550","Cash"
"551","Online"
"552","Cheque"
"553","Cash"
"554","Cheque"
"555","Online"
"556","Bank Transfer"
"557","Online"
"558","Bank Transfer"
"559","Credit Card"
"560","Cash"
"561","Credit Card"
"562","Bank Transfer"
"563","Cheque"
"564","Bank Transfer"
"565","Bank Transfer"
"566","Cheque"
"567","Credit Card"
"568","Cash"
"569","Bank Transfer"
"570","Bank Transfer"
"571","Cash"
"572","Bank Transfer"
"573","Cash"
"574","Cash"
"575","Cash"
"576","Cheque"
"577","Credit Card"
"578","Credit Card"
"579","Online"
"580","Cheque"
"581","Online"
"582","Credit Card"
"583","Credit Card"
"584","Credit Card"
"585","Bank Transfer"
"586","Online"
"587","Cheque"
"588","Online"
"589","Credit Card"
"590","Cheque"
"591","Online"
"592","Credit Card"
"593","Credit Card"
"594","Cheque"
"595","Cash"
"596","Cheque"
"597","Cash"
"598","Bank Transfer"
"599","Cheque"
"600","Cash"
