contractor_id,contractor_name,phone,email,project_cost,start_date,end_date,project_count,payment_terms,project_id
56,"Alvarez, Ruiz and Lee",001-349-217-1814x400,williammartin@johnson.com,1518397.25,2020-11-18,2024-08-29,11,Advance,171
57,"Anderson, Wilkinson and Wilson",247-279-9536,mary71@becker.com,567374.66,2022-06-11,2030-03-01,13,30 days,103
58,Winters PLC,(389)811-7212,bearddeborah@wagner.com,1557670.99,2021-07-20,2037-09-24,16,Advance,65
59,"Curry, Myers and Simmons",330-229-5867,hartnicole@hancock.com,4860302.73,2022-11-10,2036-03-01,9,Advance,81
60,"Keller, Gallagher and Dunn",6268614289,carlymcneil@clark-hughes.org,4816138.42,2023-04-03,2037-02-18,8,Milestone,154
61,"Franklin, Dunn and Stein",(831)229-0162,hebertjody@reyes-munoz.com,3813912.46,2022-08-05,2028-04-05,20,30 days,131
62,Bray LLC,615.734.7792x536,jenniferbarton@freeman.com,2629188.9,2021-04-17,2037-03-24,13,Advance,133
63,"Bennett, Booker and Jones",865-744-2644x96684,troytran@weaver-turner.com,3914860.0,2023-07-01,2037-04-18,11,30 days,156
64,Martinez-Soto,278-927-5448,ray62@welch.com,2789760.41,2022-08-17,2037-12-26,8,Milestone,6
65,"Guerrero, Rios and Vega",794-641-9986x57829,johnjohnston@pugh.com,67367.1,2021-06-19,2033-08-15,4,60 days,179
66,Richardson-Smith,001-343-273-4634x36791,ericksonteresa@russell-mcbride.com,2532658.02,2023-07-12,2034-04-15,4,Milestone,14
67,Hunt Inc,(764)833-7448x405,jasonvaughn@anderson.com,3014671.06,2021-11-29,2026-08-05,11,60 days,174
68,Cherry and Sons,(304)893-1642x0395,zbennett@garcia.com,1365454.37,2022-01-03,2033-06-04,14,Advance,64
69,Ferrell-Chandler,+1-734-286-0217x271,jonesmartha@morrow-clarke.com,1056303.14,2021-11-23,2033-05-24,5,Advance,57
70,Harris and Sons,5033399174,brian57@campbell.com,1405355.02,2022-02-13,2030-11-28,2,60 days,144
71,Stone-Caldwell,878-287-9378x0095,sara92@walsh-rodriguez.info,3136957.36,2023-07-10,2031-04-29,1,60 days,49
72,Cole and Sons,(436)608-4376x081,kelliebryant@maldonado.info,773017.37,2023-04-20,2030-08-11,5,Advance,63
73,"Martinez, Nelson and Bradshaw",001-310-354-1931x535,pjohns@mckinney.net,3615625.09,2023-04-18,2036-03-10,11,Advance,46
74,"Suarez, Mason and Kirk",581.526.6019x542,zbrewer@schmidt-bauer.com,2142240.36,2022-10-16,2027-02-22,5,Advance,100
75,"Mcfarland, Johnson and Moore",448-667-4657x509,veronicamcmahon@medina.com,1799071.9,2023-08-28,2039-02-05,12,60 days,122
76,"Kaiser, Baker and Johnston",830-970-1338,luis24@johnson.org,4045794.89,2023-08-13,2031-02-02,11,30 days,161
77,"Roth, Haley and Ryan",(275)708-7549x395,erika94@adams-miller.info,2555013.08,2022-12-31,2025-08-17,18,Milestone,128
78,Garcia-Warren,318.657.2199x28800,francisco61@beck.net,1923082.78,2023-06-22,2031-06-10,10,Advance,95
79,"Rodriguez, Sullivan and Rose",586.721.3217x02355,serranoveronica@hernandez.com,4396865.84,2023-06-04,2026-07-18,9,60 days,51
80,Cooke Ltd,+1-761-424-5673,catherine37@walters.com,1872845.58,2023-02-22,2027-02-01,11,Milestone,37
81,"Zamora, Moore and Dean",288.312.2305x32612,epayne@richards.com,4302051.4,2022-06-08,2037-11-16,15,Milestone,104
82,"Johnson, Guzman and Lane",348.315.9535,eholt@molina.com,2545783.56,2022-07-17,2025-09-29,4,60 days,92
83,Jarvis Group,843.392.0373x846,mcardenas@brown.com,1079635.13,2020-10-26,2025-05-03,7,30 days,27
84,Gonzalez-Rodriguez,+1-752-887-8373x0693,tgardner@jenkins.com,3083450.03,2020-11-27,2035-10-10,18,Milestone,96
85,"Garcia, Wilcox and Beltran",+1-777-777-9758,sjimenez@lee-duke.com,1462351.46,2022-08-22,2027-01-28,12,30 days,53
86,Mendoza-Curry,(703)646-7084,gritter@pratt.net,778417.9,2023-06-01,2038-11-09,2,Advance,16
87,"Tucker, Alvarado and Decker",765-450-7682x58068,qchang@franklin.org,478320.39,2023-03-10,2028-05-12,12,Advance,68
88,Walls Inc,(504)695-6834x245,reginacastro@lyons.com,1246401.81,2021-06-20,2027-01-20,11,30 days,116
89,Flores Inc,+1-589-817-0260x93530,danielle98@santos.com,3695945.48,2022-08-22,2036-08-08,19,60 days,94
90,"Robinson, Newman and Walters",(666)354-7999,mikaylamunoz@garcia.biz,4198096.15,2022-07-01,2026-10-08,6,Advance,122
91,Jones PLC,530.990.3708x51807,byrdchristopher@moore.info,4315518.19,2022-04-20,2035-02-11,5,Milestone,158
92,"Hernandez, Garcia and Allen",(239)973-8062x447,emcdaniel@villanueva.net,1387233.95,2021-01-25,2023-12-11,10,30 days,134
93,Boyer LLC,5675122660,mallory31@jones.net,3321816.02,2023-05-01,2026-11-11,3,Milestone,6
94,Rivers-Richardson,299-659-2933x090,dcooper@nguyen.com,1190252.6,2023-01-13,2028-10-13,4,Milestone,93
95,Hinton-Meyer,9002957203,zlamb@ruiz.com,3132672.46,2021-01-08,2031-04-16,1,Advance,11
96,Ford-Johnson,001-482-234-7869x12705,jsweeney@meadows.biz,4441694.42,2023-09-01,2028-07-06,14,30 days,89
97,Booth-Li,8437439791,mccormickdavid@clark.com,252423.73,2022-12-12,2030-05-04,12,60 days,2
98,Brown Inc,(871)522-7944x44528,clarkaaron@shepherd.net,4926867.06,2023-07-17,2028-09-18,17,60 days,162
99,Russell-Bryant,+1-597-877-8413x26109,crystal96@nielsen.net,4144084.99,2022-03-25,2036-03-11,14,60 days,93
100,Wright Group,+1-606-481-9541x9283,tcunningham@richards.com,3820227.48,2023-08-12,2038-07-24,1,30 days,129
101,Harris Ltd,(813)960-2881x44739,melissagarcia@kirk.com,3472246.32,2022-09-08,2038-06-16,16,60 days,106
102,Lin-Wilson,(985)697-5727x6276,francisco58@booth.net,3862855.75,2021-12-22,2032-02-28,14,Milestone,17
103,Lane-Henry,413-284-7056,bobby36@singh.com,4973247.01,2021-07-05,2034-09-25,15,30 days,47
104,Ward Group,+1-627-832-7482x443,omora@beltran.com,3862446.92,2021-05-14,2024-10-25,6,60 days,127
105,"Rodriguez, Rojas and Acosta",744-433-0738x93485,mikeflores@richardson-chambers.biz,1790423.88,2022-08-20,2039-01-23,19,Milestone,163
106,Evans Inc,(522)236-6034x3694,natalieleon@nolan-odonnell.com,3088913.17,2023-08-06,2027-05-17,7,Advance,149
107,Smith LLC,877-934-8486x091,rodriguezwilliam@collins.com,1717768.93,2021-01-14,2034-05-06,11,Milestone,65
108,Bailey-Holt,671-206-6041x5334,todd10@larson-miller.com,4851823.94,2023-06-05,2028-04-09,12,Milestone,130
109,Thomas-Fernandez,975.849.5492,hernandezalec@kelly.com,4505691.68,2021-07-22,2029-09-08,16,60 days,115
110,Walker-West,5242749066,jake28@anderson.com,2859720.13,2022-02-02,2028-09-28,19,60 days,168
111,Wagner-Torres,752-535-9635,vcarter@mills.com,3917305.08,2022-06-09,2033-01-12,20,Milestone,172
112,"Hubbard, Giles and Smith",5878780269,zamorafrank@howard-newton.com,4552950.37,2020-10-24,2025-05-01,14,Milestone,18
113,"Mccullough, Massey and Roberts",+1-496-449-3583x10569,lsellers@fisher.info,1255821.31,2021-03-20,2024-05-03,4,60 days,151
114,"Rodriguez, Suarez and Sullivan",9406123479,antoniocarter@wright.com,2918435.19,2023-10-06,2038-09-17,6,Milestone,173
115,"Harrison, Taylor and Bradshaw",638-648-4745x482,harrisonandrew@collins.com,2434495.78,2023-07-16,2035-09-11,7,60 days,105
116,Church-Park,819-646-7260x24815,williamsbrenda@reeves-travis.com,3869377.21,2023-08-08,2029-06-07,13,Advance,152
117,"Moss, Charles and Finley",819.428.7016,diane15@hunt.com,1926458.48,2023-09-27,2037-11-12,12,30 days,155
118,Bauer-Shelton,+1-365-411-2280x18868,twilliamson@floyd.net,3559449.22,2020-12-02,2028-06-23,13,Milestone,47
119,Allen Ltd,742.295.8406,garciadanielle@mitchell.info,2044815.79,2022-09-10,2037-11-20,9,Advance,169
120,Peterson Inc,001-834-333-1559x27779,mark59@blake.com,599820.58,2023-05-09,2031-01-27,7,60 days,27
121,Shaw PLC,(463)976-7452,washingtonmichele@moody.com,580251.09,2021-12-25,2037-08-03,12,60 days,95
122,Graves-Adams,(714)438-2314x41301,nicholas71@rodriguez.net,639328.81,2022-05-24,2028-10-19,1,30 days,49
123,"Roberts, Gutierrez and Shepherd",966.689.1184x90392,danielgriffith@carney.com,210973.39,2021-11-27,2029-04-19,13,30 days,24
124,"Contreras, Jones and Smith",(654)630-6863,andrewscolleen@george-king.info,2688217.2,2022-07-30,2025-11-11,14,Advance,156
125,Anderson-Henry,+1-319-889-8190,michelle61@friedman.net,3375918.28,2022-09-27,2030-02-17,8,Milestone,125
126,Cannon PLC,681-317-7128,ericcarpenter@brown.com,677305.59,2021-04-27,2028-10-17,16,Advance,8
127,Miller-Ward,(265)396-5959x6228,eharris@gray.com,3078697.1,2022-09-25,2025-12-08,6,60 days,85
128,Herman PLC,226.965.5268x5493,qcosta@velasquez-smith.net,3008813.39,2021-08-23,2036-05-06,8,Milestone,141
129,"Ray, Adams and Torres",567-856-1388,fmiller@chen.biz,778115.55,2021-10-01,2027-08-01,11,30 days,142
130,"Hanson, Vance and Ellison",(331)557-0354x79760,edwardscarrie@franco.com,2050208.87,2022-03-29,2030-03-17,4,Advance,136
131,Rojas-Rodriguez,368-551-0959x1711,ugraham@griffin-robinson.net,3787921.76,2023-10-03,2034-06-07,9,60 days,4
132,Williams-Smith,871-313-2936,tony76@rubio-thompson.com,132942.33,2021-05-05,2027-08-02,14,30 days,137
133,Hampton-Jackson,001-764-894-0284x6710,matthew20@nguyen.com,777392.03,2021-06-28,2024-07-12,14,Milestone,112
134,Holmes-Torres,931-976-6017x918,brownashley@banks.com,4979350.45,2022-09-09,2028-09-07,11,60 days,106
135,Dunn-Bennett,966.908.8559,brittany08@hill.com,3681047.24,2021-12-23,2027-10-23,11,60 days,146
136,Day-Boyer,4367033538,dlawson@mooney.com,2347444.88,2022-02-07,2030-01-26,4,Advance,167
137,Berry-Collins,(540)715-1750,vangsamantha@vargas-lloyd.com,3167516.99,2023-04-30,2030-10-20,3,30 days,137
138,Hoffman-Warren,001-340-223-8460x085,halemelissa@wright.com,4238793.8,2022-07-23,2026-11-29,6,Advance,59
139,"Humphrey, Hamilton and Stark",(654)574-9080x03044,kennethclark@cherry.com,4219407.7,2021-08-30,2026-01-06,9,Milestone,62
140,"Lopez, Bailey and Flores",(870)496-3608x92847,staffordheather@adams.org,1657272.11,2022-02-10,2032-04-18,11,60 days,72
141,Bennett-Hoffman,(736)700-6381,rosecruz@porter.com,2481892.54,2022-09-02,2035-06-26,7,Advance,151
142,"Campbell, Martinez and Alexander",+1-830-932-1594x01139,xriddle@vaughan-lee.info,3208372.73,2023-09-14,2026-05-01,12,Milestone,98
143,Davis-Cole,(416)955-8614,alicia01@watson.com,405889.74,2023-06-24,2034-01-27,16,Advance,18
144,Smith-Hughes,+1-380-481-5409x75553,stewartmisty@leon.info,4731693.17,2022-11-19,2038-10-26,20,Advance,58
145,Myers Inc,8349106338,ricky68@hunt-alexander.biz,2192072.04,2020-10-17,2033-05-12,10,Milestone,163
146,"Trujillo, Tucker and Flynn",832-220-3140x205,sanchezanna@miller.net,1885768.52,2020-12-17,2029-08-02,11,60 days,154
147,Harrison LLC,(798)635-2202x19064,peterjohnson@peters.org,4540146.79,2023-07-09,2029-10-05,8,Advance,79
148,Wilson-Kirk,(403)467-1339x8057,zharris@morgan-gonzales.org,635518.91,2022-01-27,2036-08-11,8,30 days,88
149,"Holmes, Petty and Thomas",(865)862-2384,pwolfe@nichols.org,244340.95,2022-02-22,2026-04-02,8,Milestone,70
150,Bernard-Mitchell,417.598.3528x693,dwells@young.com,3440761.94,2023-06-09,2037-11-22,4,Milestone,36
151,George Group,+1-758-285-1189,victoriahuber@hunter.com,1955764.69,2022-11-13,2026-11-22,18,30 days,108
152,King-Hill,001-807-925-8493x682,allenmelissa@lawrence-pratt.org,3834155.25,2023-05-26,2037-02-11,20,Milestone,55
153,Brown-Dennis,001-487-786-2125x2375,dorothybaker@barry.biz,389295.83,2022-11-15,2029-08-10,4,Milestone,35
154,Miller Group,(699)497-9743,hluna@long.net,1949597.86,2022-12-14,2026-10-24,18,30 days,4
155,Brown and Sons,(371)233-0829x7646,cellis@mullen.com,1214859.8,2023-02-08,2038-10-17,7,Milestone,158
156,Wilkerson-Boyd,602-856-1749x2883,allison22@webb.biz,3711052.34,2021-05-05,2024-09-16,4,30 days,80
157,"Medina, Frazier and Garcia",744-222-8710,elizabeth25@wright-foster.biz,1174492.05,2020-10-19,2023-07-06,20,60 days,67
158,"Price, Williams and Evans",001-622-303-0282x88145,jennifermiller@gilbert-flores.info,2316829.41,2021-07-07,2028-06-30,2,Milestone,11
159,Bailey-Weaver,980.650.1725x91952,hudsonbrett@saunders-lewis.org,4103443.88,2020-12-23,2031-10-27,13,30 days,1
160,Gordon-Bailey,001-702-294-6049x8182,joshuacasey@dixon.info,4581183.15,2023-05-15,2029-02-12,16,Milestone,61
161,Jones-Johnson,(295)988-7674,randypotter@golden-rivers.com,3626898.68,2021-08-16,2024-05-02,10,Advance,153
162,Richards Group,+1-772-658-6453x34850,danielfoster@herring-beasley.info,2174680.64,2022-08-06,2029-05-31,1,60 days,29
163,Hughes Group,746.334.1474x26972,mandy10@gibbs.com,2881330.08,2023-04-21,2034-11-19,16,Milestone,124
164,Smith Inc,+1-721-591-0051x03588,rebeccacarson@zuniga.com,3463965.24,2022-04-09,2037-09-17,6,30 days,114
165,Austin and Sons,282.772.5252,briannaberry@lowe.biz,4380916.5,2021-09-29,2033-06-28,11,30 days,27
166,Carr and Sons,(907)263-3125,ronnie87@mclaughlin-romero.com,4448441.22,2022-01-01,2035-12-19,12,60 days,54
167,Cross LLC,9177078688,jonesdonald@jones.info,4658298.98,2023-06-06,2038-03-19,8,30 days,142
168,"Howard, Hart and Burch",(406)320-7618x51969,hodgeskimberly@shaw.org,4063019.94,2023-05-09,2034-03-12,12,30 days,175
169,Johnson-Donovan,001-530-401-1433x1984,reynoldsmichelle@wallace.org,776649.78,2023-05-22,2033-02-28,7,Milestone,112
170,Weber-Roberts,+1-385-739-0786x90681,morganbryant@anderson.com,3750815.69,2023-07-12,2037-09-26,15,30 days,92
171,"Perez, Meza and Murphy",901.355.4580,antoniolara@david.com,4082232.25,2022-08-20,2030-08-08,11,30 days,134
172,Martin-Smith,584.410.5221,brooke88@sanchez.net,4395463.57,2023-05-26,2034-12-24,3,60 days,159
173,Gray-Miller,761.459.2860x0787,paul63@larsen.com,4627843.63,2021-08-01,2027-12-28,15,60 days,19
174,"Jackson, Fitzgerald and Vega",395-652-0332x5509,christopherwilliams@hanson.com,2570341.08,2023-04-11,2038-05-22,2,60 days,89
175,"Arnold, Jones and Huffman",001-600-402-8868x184,joycewright@murray.com,3292708.84,2022-09-08,2032-02-18,7,Advance,97
176,Morris LLC,378-902-4914x30893,martin32@miller.com,97286.24,2022-05-25,2036-08-09,3,Advance,140
177,Jacobs and Sons,(736)302-7426,jasonrogers@hanna.net,2885278.66,2021-03-07,2031-07-13,3,30 days,165
178,"Frazier, Bridges and Lutz",+1-658-924-4276x45223,marie44@moss.info,2392331.99,2021-01-18,2036-08-27,17,Advance,113
179,Holder Inc,001-529-510-7719x2011,williamsdebra@gill.net,4813414.92,2023-03-22,2026-12-31,18,Advance,57
180,Smith-Jenkins,001-592-627-4180x3748,cervantesashley@johnson-watson.com,4513461.03,2023-05-23,2038-11-30,17,Advance,96
181,Brown-James,484.758.4629x833,scott18@owens.com,3998139.45,2023-05-18,2028-10-18,20,Advance,129
182,"Morgan, Bryant and Edwards",+1-463-772-9836x604,carneyrachael@graham.com,332121.21,2023-01-30,2029-06-27,15,Advance,109
183,Webb Ltd,+1-993-705-2575x27997,mcdonaldbrian@leach-lopez.com,2040042.77,2022-04-07,2030-03-26,20,Advance,171
184,Keller-Gomez,5842803484,brandtisabella@medina-stuart.org,3495409.0,2022-08-24,2035-01-18,11,30 days,94
185,"Vang, Martin and Fisher",824.716.7449,vmann@schmidt-chaney.com,196820.68,2021-05-02,2030-10-12,15,Advance,120
186,Herrera-Moore,823.968.2173,ghoffman@ray.com,1217278.27,2022-03-15,2026-04-23,12,30 days,174
187,Nguyen-Tyler,+1-442-885-3527x214,brandonolson@edwards.org,4443160.59,2023-04-15,2027-01-24,3,60 days,155
188,Webb-Horn,2707880025,ucameron@watson.com,692414.8,2022-06-20,2033-03-24,6,30 days,20
189,Castillo-Davis,001-230-250-2244x87975,scottsarah@higgins.com,304298.85,2021-04-26,2026-03-01,9,30 days,108
190,"Lane, Allen and Shelton",877.871.7339,griffincrystal@weber-lowe.info,2923899.49,2022-05-03,2028-08-29,17,Advance,22
191,"Owens, Perez and Martin",931-731-0651x0227,kevinsutton@garcia.org,4734999.85,2020-11-12,2023-06-30,7,Advance,51
192,Smith-White,(288)546-0010x60793,millercraig@west.info,4181392.46,2022-09-25,2027-08-30,15,60 days,164
193,Acosta-Henderson,+1-445-613-3925x58995,zachary02@burns.net,4875123.9,2021-02-21,2024-01-07,19,30 days,118
194,Ramirez-Edwards,+1-306-541-2261,kenneth92@thompson.com,3779939.61,2022-02-07,2029-06-30,13,60 days,43
195,"Shepherd, Ingram and Sweeney",421-969-7084,amberlopez@wade-ramirez.net,2214980.38,2021-01-28,2034-04-20,8,Milestone,93
196,"Macias, Cox and Greene",001-545-506-2759,william08@smith.com,4735751.38,2021-05-17,2028-02-10,10,Advance,163
197,"Gordon, Mercado and Thompson",992-654-2928x3882,samanthaharvey@velez.biz,2161834.73,2022-08-31,2032-08-08,13,Advance,161
198,Barnett-Kim,(383)887-9872x23696,jamesdecker@johnson.biz,1782968.35,2021-05-09,2033-10-03,16,Advance,100
199,"Cook, Castillo and Beck",878.870.9654x946,kellie62@johnson-blanchard.com,2268569.79,2022-06-27,2028-03-27,6,60 days,155
200,"Richardson, Clements and Burton",762.520.7365,davidcrawford@shaw-lowe.com,4079171.07,2022-07-29,2029-09-20,20,30 days,27
201,"Myers, Mejia and Davis",001-762-897-8852x4301,katherineyoung@wise-lewis.net,4592583.07,2020-12-11,2025-10-16,1,60 days,92
202,"Collins, Cunningham and Walton",+1-763-963-3909x7544,jason89@gibbs-underwood.com,1820526.44,2021-02-15,2033-06-12,19,60 days,178
203,"Alvarez, Fisher and Lawrence",+1-697-717-3748,allencantu@johnson-walker.com,2338124.91,2023-09-26,2039-08-03,9,60 days,137
204,Horn Ltd,+1-868-643-8820x84456,lucas10@rodriguez.com,4496720.25,2023-03-14,2029-11-07,15,60 days,32
205,Dorsey-Sanders,001-765-843-4100x12878,josephfox@vincent.com,282866.14,2021-10-06,2027-07-07,18,60 days,64
206,Gomez Inc,001-579-590-8714x185,whitestephen@morris.com,3930150.04,2022-10-09,2035-09-01,17,Advance,21
207,"Campbell, Freeman and Wright",437-427-1085,julie58@lawrence-robinson.info,2298377.9,2021-06-19,2036-09-28,20,60 days,110
208,Hardin-Jones,001-451-551-0481,sotochristopher@gutierrez.com,1913765.84,2023-06-09,2033-07-16,18,Milestone,171
209,"Mcfarland, Lewis and Mcdaniel",001-458-453-8325x99598,lcarter@hines.org,2262260.39,2021-10-10,2037-07-18,4,Advance,15
210,Lopez Ltd,468.455.7340x8876,brian66@williams-hunt.org,2122518.84,2020-12-25,2031-03-03,17,Advance,80
211,Cook-Wilson,966.841.9188,deannakim@obrien.com,3795262.16,2021-10-22,2027-02-23,15,60 days,21
212,Mitchell LLC,331-399-4673x880,michael02@lara.org,4643340.24,2023-09-19,2033-04-29,10,Milestone,112
213,Thomas LLC,233-361-3050x983,nicholas91@burns.com,2482706.34,2021-05-21,2035-09-05,13,Advance,73
214,Brown-Atkinson,869.343.4887x30395,bonillaamy@potter-lewis.biz,4172032.24,2022-03-04,2036-03-20,4,Milestone,122
215,"Foley, Foster and Cook",001-708-248-4491x307,belinda27@snyder.com,3673125.45,2020-11-18,2026-09-18,2,Advance,139
216,Pearson-Mills,6488341429,chad98@mccarthy.info,1686869.89,2020-11-15,2027-10-10,14,60 days,71
217,Castro-Smith,(474)646-6278x142,maureenmills@carney-nielsen.com,2957203.38,2021-12-03,2032-01-10,17,30 days,3
218,Robertson Group,422-769-7649x472,rebeccarogers@bean-murillo.org,3350737.59,2020-12-22,2036-04-02,1,30 days,27
219,"Price, Flores and Love",800-848-0739x9633,murraytyler@fitzpatrick.biz,166321.89,2020-12-19,2027-05-17,17,Milestone,168
220,Young-Villa,001-990-854-2159,matthewsmith@stokes-webb.com,2009979.98,2022-01-08,2024-09-24,1,Milestone,58
