unit_id,type,area,status,price,location,floor_number,transaction_id,customer_id,portfolio_id,project_id,monthly_rent
93,Villa,197.08,Reserved,318514.78,Burchside,3,,,231,121,53935.83
94,Commercial,49.72,Sold,2164809.0,South Bryce,4,6938,6597,77,149,
95,Studio,184.38,Sold,1616379.97,Cochranview,23,5919,2807,212,124,
96,Commercial,417.71,Available,421681.21,Craigtown,2,2465,5206,337,113,34883.13
97,Studio,352.24,Sold,1906080.39,New Brianna,7,3708,1019,13,169,
98,Commercial,253.14,Under Construction,1580611.68,West Tanyaview,14,,,335,65,45936.57
99,Apartment,384.03,Available,1916442.09,New Aprilfort,20,,,266,77,22532.29
100,Commercial,448.64,Under Construction,1114531.6,Lake Sandramouth,29,,,198,150,3418.95
101,Studio,185.49,Under Construction,363068.24,South Lauriefurt,6,,,177,147,9043.67
102,Apartment,151.84,Reserved,180769.96,Lewisside,4,,,141,14,41933.71
103,Commercial,65.71,Reserved,548059.41,Lindseybury,12,,,184,180,7388.18
104,Studio,61.21,Sold,705991.58,New Victorborough,12,238,792,90,48,
105,Apartment,272.34,Reserved,2413479.61,South Amy,17,,,31,49,52782.29
106,Apartment,398.51,Under Construction,481364.24,Fowlerville,25,,,322,75,17364.62
107,Commercial,66.7,Available,1957247.43,Dukebury,3,,,31,74,6049.35
108,Villa,266.03,Reserved,657295.15,Amandachester,12,,,31,152,16119.85
109,Apartment,446.15,Available,1904110.53,Lake Eileenville,23,,,233,81,50542.48
110,Commercial,272.37,Sold,2183985.0,Nancybury,10,5667,287,399,38,
111,Apartment,302.88,Available,2368125.58,Lake Jesseshire,13,607,6130,210,127,18317.64
112,Apartment,282.06,Reserved,1740821.8,Port Seth,16,,,297,52,24790.36
113,Apartment,400.08,Sold,2450517.75,Richardsonview,12,5131,479,104,177,
114,Studio,239.91,Reserved,1007069.6,Davidmouth,4,,,218,62,29372.4
115,Apartment,388.89,Reserved,1631397.64,North Louisville,17,,,301,25,4596.8
116,Studio,260.0,Reserved,92385.3,Arnoldshire,28,,,306,112,47155.05
117,Commercial,171.25,Available,1206418.33,Mckenziehaven,4,,,282,127,48323.33
118,Studio,54.28,Available,438426.76,Port John,21,,,59,78,25081.7
119,Villa,130.42,Reserved,877858.49,Mooreshire,25,,,346,61,59894.13
120,Commercial,377.55,Available,2215559.45,Lake Lisaborough,26,,,391,126,56349.17
121,Studio,176.49,Sold,777838.55,Cameronland,13,6968,7143,36,143,
122,Commercial,132.14,Under Construction,2083786.43,New Johnmouth,2,,,381,105,41414.01
123,Apartment,133.01,Reserved,973634.88,Banksview,16,,,64,68,31389.28
124,Studio,254.18,Available,2227382.93,Jessicafort,28,,,339,173,24072.84
125,Villa,412.04,Available,1131350.52,Richardsonmouth,18,,,339,57,45289.62
126,Villa,421.06,Available,2273560.47,North Ray,4,,,266,8,5303.27
127,Villa,120.37,Under Construction,1218418.29,Burchside,19,,,230,154,27030.15
128,Apartment,300.97,Available,2364537.17,Waltonfurt,6,,,391,77,8519.47
129,Apartment,222.52,Under Construction,521407.04,West Markville,30,,,290,112,53858.24
130,Commercial,435.3,Available,1222819.12,Hopkinsfort,12,,,248,89,8032.6
131,Villa,360.9,Available,1757996.31,Murphyborough,14,3532,6873,199,118,22570.91
132,Villa,403.27,Available,2440788.13,South Russellside,15,,,155,159,34355.52
133,Studio,269.78,Available,778908.09,South Kent,7,,,279,61,35901.35
134,Studio,217.45,Reserved,790368.02,New David,26,,,1,88,5896.74
135,Villa,139.87,Available,534743.89,Powellside,6,,,193,10,33438.44
136,Commercial,284.69,Reserved,1541000.72,North Amber,26,,,251,29,24514.5
137,Villa,209.81,Available,2093884.15,Marymouth,28,,,250,14,29621.5
138,Studio,444.93,Reserved,1127062.21,Lake Donaldmouth,23,6073,260,259,157,39675.69
139,Apartment,55.9,Sold,1650682.81,New Frank,9,3086,5649,100,115,
140,Commercial,388.34,Sold,2359021.7,Caitlinside,20,3025,7981,203,112,
141,Villa,448.89,Under Construction,741337.68,West Brandonmouth,18,,,156,5,35371.46
142,Villa,222.05,Under Construction,1431352.83,Christinaburgh,15,,,170,130,11132.27
143,Villa,390.3,Reserved,2278443.91,North Samuel,15,,,226,95,28080.38
144,Villa,151.38,Reserved,395041.9,Jenniferview,27,,,88,119,41658.36
145,Apartment,164.58,Available,2278369.5,Aaronview,30,,,303,39,40918.72
146,Studio,302.96,Available,1420535.18,East Shawnborough,19,3076,2365,162,124,4655.03
147,Commercial,421.75,Under Construction,1588446.86,Port Damonfurt,6,,,126,122,59655.6
148,Apartment,258.0,Sold,1789771.69,North Philipstad,19,5645,1087,103,82,
149,Apartment,58.33,Sold,1597753.63,Jeffreyland,17,3800,2233,234,29,
150,Apartment,352.33,Available,1957360.02,South Julia,14,,,26,53,46666.48
151,Commercial,128.91,Reserved,2439726.27,Christinaton,2,,,112,84,59720.56
152,Apartment,66.37,Sold,2344293.74,East Lisaborough,13,1251,6259,298,71,
153,Studio,155.12,Sold,1738746.0,Pearsonfurt,10,6579,509,176,77,
154,Commercial,175.32,Sold,2420998.09,Trevinomouth,4,5186,6618,143,70,
155,Studio,77.12,Reserved,1269479.7,Silvaland,24,,,104,159,26826.77
156,Commercial,170.3,Under Construction,1631558.28,New Andrewtown,20,,,332,150,9601.23
157,Apartment,332.41,Available,2452450.7,Brandonland,2,,,145,133,48664.41
158,Villa,391.91,Sold,931110.02,Brentview,6,5013,6878,248,157,
159,Studio,169.83,Available,1316768.47,North Adam,21,,,294,173,4652.14
160,Commercial,427.32,Under Construction,402273.67,East Joshuaberg,21,,,165,3,54374.76
161,Apartment,69.69,Available,2065431.07,Molinamouth,27,,,44,103,10813.83
162,Studio,50.82,Available,1812749.15,North Abigail,3,4310,5711,42,89,18255.39
163,Villa,331.52,Available,1409958.86,Priceberg,10,,,187,95,8310.83
164,Apartment,421.83,Under Construction,1158169.73,Patrickbury,21,,,351,173,44597.94
165,Commercial,242.92,Reserved,1530685.61,Port Heather,20,,,16,92,19560.87
166,Commercial,118.15,Under Construction,1379297.0,East James,15,,,338,48,27532.7
167,Commercial,196.9,Available,1697789.63,Martinezfort,0,,,21,138,42049.38
168,Villa,54.06,Under Construction,879924.01,Davidside,17,,,18,7,25882.34
169,Villa,75.21,Reserved,627957.12,New Emily,23,,,312,155,4995.22
170,Villa,448.44,Reserved,1854565.15,North Gavin,24,,,125,109,7072.11
171,Apartment,43.4,Available,1812255.11,Raymondshire,19,,,348,159,27473.15
172,Commercial,361.52,Reserved,2312516.29,Knightland,5,,,34,148,36759.42
173,Villa,112.65,Sold,1966375.39,Williamberg,21,3141,5061,4,177,
174,Apartment,431.66,Under Construction,1471566.65,Kingchester,13,,,170,24,41555.85
175,Apartment,175.05,Available,984742.85,Chadshire,8,,,247,48,44609.96
176,Studio,420.03,Sold,1591021.55,Josephside,15,1631,762,341,9,
177,Commercial,362.79,Available,470505.79,Ruizbury,28,1702,5361,42,125,14293.63
178,Apartment,255.79,Available,482557.77,Jonesberg,1,,,339,90,38829.71
179,Studio,156.04,Under Construction,1989254.92,Bethbury,0,,,335,28,48870.4
180,Apartment,227.47,Reserved,492986.06,Gregoryton,29,,,30,168,39512.95
181,Studio,447.01,Sold,1575347.7,Jamiebury,4,1534,6076,116,34,
182,Studio,49.85,Under Construction,92370.24,Port Justin,28,,,104,166,20580.99
183,Villa,116.25,Sold,2041975.46,East Shaneton,21,4991,1877,397,54,
184,Apartment,385.59,Sold,683615.99,Lake David,29,6414,1660,89,174,
185,Apartment,170.14,Sold,628805.07,South Angelaville,4,6516,637,170,132,
186,Villa,411.98,Available,1281490.87,Brandonmouth,22,,,9,56,40055.95
187,Villa,207.43,Available,1595984.77,Port Johnny,4,,,72,126,24379.61
188,Apartment,175.97,Under Construction,1604476.18,Port Janet,28,,,131,167,36281.6
189,Studio,156.81,Reserved,415903.7,Gloverstad,9,,,255,168,23377.45
190,Apartment,207.31,Available,1590276.62,Warnerhaven,3,,,16,114,55042.67
191,Apartment,50.02,Under Construction,646969.48,Shelbychester,25,,,373,143,13235.52
192,Commercial,243.45,Reserved,1102766.98,Stewartmouth,16,,,157,87,44284.18
193,Studio,135.6,Sold,1506521.0,Reynoldsport,20,1623,489,334,49,
194,Commercial,401.8,Reserved,2281160.46,West Johnmouth,16,,,153,57,57609.51
195,Apartment,355.9,Available,2269670.37,Lake Angela,16,,,390,175,15602.79
196,Commercial,117.0,Sold,65895.81,Walkerport,27,1621,7048,43,53,
197,Studio,328.34,Reserved,2346794.61,Allenland,0,,,216,6,12842.25
198,Studio,299.33,Reserved,1878826.41,Lake Deanbury,3,1808,3118,58,102,55801.63
199,Commercial,303.45,Sold,2427219.65,Lake Jamie,17,5957,4900,387,74,
200,Commercial,178.04,Reserved,907324.91,West Coryborough,20,,,121,106,33494.73
201,Studio,194.15,Available,53493.03,New Danielle,28,,,124,4,44442.78
202,Villa,346.96,Sold,1880087.78,South Juan,25,5425,7059,222,1,
203,Villa,178.18,Reserved,1329609.21,Terrihaven,29,6846,7295,66,103,22878.46
204,Villa,41.66,Under Construction,1427999.91,Millermouth,30,,,231,35,9178.12
205,Apartment,68.22,Reserved,1900972.72,Wadeland,4,,,95,155,2551.36
206,Apartment,432.99,Sold,1312375.64,South Walter,18,116,1115,367,126,
207,Apartment,442.95,Reserved,192094.05,Wolfeville,24,6938,6597,96,146,35844.71
208,Studio,179.97,Sold,2116532.11,Port Michael,0,5165,1823,295,148,
209,Commercial,184.91,Reserved,688194.57,New Normamouth,27,,,286,146,51738.08
210,Commercial,190.48,Under Construction,91241.63,East Carol,8,,,380,91,24636.77
211,Apartment,306.63,Under Construction,673180.87,North Daniel,24,,,227,17,27055.28
212,Villa,58.54,Sold,1490827.34,Joseport,5,309,59,304,38,
213,Studio,348.86,Reserved,1062615.78,Alexanderberg,5,,,369,43,26373.49
214,Villa,71.64,Available,544755.12,Garyville,6,4464,6230,66,24,10971.17
215,Apartment,234.9,Available,1346676.08,Port Natalie,28,,,32,166,57038.53
216,Studio,65.39,Reserved,1519676.53,New Daniel,12,5997,663,1,49,32536.91
217,Villa,249.24,Sold,2189240.25,West Scott,21,1058,1674,1,149,
218,Commercial,120.3,Sold,149894.52,Hendersonview,20,4127,2911,94,7,
219,Studio,313.99,Available,895635.79,Lake Cheryl,4,6307,7474,26,6,3020.22
220,Studio,139.32,Available,807850.6,Lake Jacqueline,11,,,202,153,37776.63
221,Commercial,106.62,Sold,1061983.15,Robintown,0,4190,6303,223,42,
222,Apartment,235.23,Sold,1175131.61,New Joshua,8,5225,6815,124,135,
223,Villa,439.19,Reserved,161485.38,Bethton,15,,,126,2,57156.15
224,Commercial,276.5,Reserved,1999532.9,North Anthonyville,4,,,250,106,26962.77
225,Commercial,223.34,Sold,2204349.92,West Sandrashire,12,287,601,392,59,
226,Villa,406.81,Under Construction,634787.76,Tinaburgh,10,,,71,118,13556.03
227,Commercial,240.94,Under Construction,2255678.72,South Eric,28,,,198,125,20696.6
228,Apartment,305.59,Reserved,1784971.63,Lake Kathy,7,,,297,25,47163.13
229,Commercial,269.03,Reserved,1036015.19,Mariehaven,11,65,6647,398,101,58086.93
230,Apartment,288.7,Reserved,1834984.77,Feliciaton,25,,,159,64,22009.01
231,Apartment,313.03,Sold,681604.27,South Danielton,3,2436,5725,121,151,
232,Studio,136.72,Reserved,1801069.39,Lake Donnachester,5,,,314,95,32240.89
233,Villa,318.56,Sold,710124.3,West Ryantown,23,6398,7195,237,27,
234,Studio,283.47,Under Construction,1137637.44,Ramirezmouth,28,,,386,48,36623.7
235,Apartment,155.72,Reserved,1802854.86,Tylermouth,25,,,275,179,48743.9
236,Studio,142.87,Under Construction,786520.37,Lake Diane,13,,,345,57,40346.95
237,Studio,323.67,Available,1775044.23,Conleystad,4,,,36,39,41596.51
238,Studio,198.02,Available,1017391.5,East Amybury,20,,,47,104,16779.42
239,Studio,100.09,Sold,1746814.58,Hullberg,22,4541,1257,48,95,
240,Studio,73.67,Reserved,2347591.1,Elizabethtown,17,,,245,9,49947.81
241,Apartment,390.86,Reserved,2271338.6,Port Tanyachester,16,6846,7295,238,4,25699.09
242,Apartment,386.38,Sold,437250.19,Stoutside,23,3008,7004,342,141,
243,Studio,43.98,Under Construction,1972983.92,South Rachel,5,,,119,171,6338.21
244,Studio,445.24,Under Construction,1703251.25,New Davidburgh,0,,,70,18,45700.08
245,Apartment,137.01,Under Construction,1700970.22,Perkinsborough,28,,,218,142,4506.76
246,Commercial,382.7,Sold,465579.03,East Tyler,6,2806,350,351,99,
247,Studio,324.4,Available,599977.23,Port Markberg,21,,,148,111,5970.28
248,Studio,234.82,Reserved,464751.22,Ashleyberg,11,,,211,32,44307.75
249,Commercial,133.59,Reserved,889057.76,South Corey,4,,,118,87,34911.48
250,Commercial,153.26,Available,976070.88,South David,4,,,237,72,49306.06
251,Studio,109.37,Under Construction,251393.89,North Stevenhaven,14,,,305,175,21044.75
252,Studio,211.12,Sold,1379515.24,Lake James,18,352,2190,307,68,
253,Commercial,189.56,Reserved,1985283.67,South Anthony,3,,,231,58,4280.53
254,Apartment,214.18,Sold,986526.99,Timothymouth,13,3289,1087,362,129,
255,Commercial,303.75,Sold,2417376.82,Batesborough,23,2382,1054,349,1,
256,Commercial,246.81,Under Construction,2467848.28,Johnside,9,,,3,156,19530.46
257,Villa,47.81,Under Construction,455874.76,North Jerrychester,12,,,16,40,24917.24
258,Apartment,166.28,Reserved,287782.62,South Natashamouth,0,,,372,115,27094.29
259,Apartment,175.32,Available,350417.09,Hatfieldshire,13,,,152,131,19174.79
260,Villa,402.87,Reserved,790019.72,North Richardmouth,4,6259,6091,183,173,43409.41
261,Apartment,289.0,Reserved,1096593.85,Alfredmouth,1,,,397,139,15863.49
262,Studio,188.14,Available,1500662.67,Lake Michaeltown,16,,,154,139,22343.69
263,Commercial,124.18,Reserved,335333.73,Brownmouth,21,,,169,68,53026.48
264,Studio,217.73,Reserved,1581760.39,Thompsonstad,22,558,4736,90,37,30443.8
265,Commercial,397.12,Available,1389990.39,West Andreaton,24,,,318,22,29885.32
266,Villa,418.71,Sold,1813239.51,Travisborough,25,4557,2247,375,31,
267,Studio,81.29,Available,485375.93,Butlerport,26,,,74,177,47653.13
268,Commercial,381.88,Sold,1385717.53,Powersberg,14,3374,1671,265,37,
269,Commercial,265.1,Sold,1598235.76,North Stephanie,15,5404,1573,166,111,
270,Studio,217.23,Reserved,1716487.85,Scottside,18,,,149,176,8291.91
271,Villa,433.93,Reserved,1887879.32,West Lindsey,14,,,286,121,38608.1
272,Studio,166.27,Under Construction,444340.94,Wilsonburgh,10,,,302,114,25741.89
273,Commercial,309.55,Available,1602588.87,South Eric,22,,,68,73,24193.19
274,Commercial,289.51,Available,2043683.32,Chaveztown,0,,,222,51,3524.52
275,Commercial,222.01,Sold,1908460.31,East Jameston,8,5158,1947,228,40,
276,Villa,261.65,Reserved,1646116.42,West Sandraburgh,5,,,198,133,31967.23
277,Studio,446.63,Reserved,183822.76,Myersbury,30,3416,3400,337,158,30480.6
278,Commercial,72.94,Reserved,441474.63,Billyhaven,22,2528,5057,201,35,24216.22
279,Villa,99.55,Reserved,2411033.56,Fletcherside,30,5161,52,365,8,56913.81
280,Studio,174.49,Under Construction,1617381.89,East Mark,22,,,316,105,32957.69
281,Studio,373.47,Sold,1587241.74,Hammondtown,2,6918,6645,329,63,
282,Studio,35.1,Available,1919777.24,Luisbury,10,,,308,28,45317.19
283,Apartment,246.53,Available,2262151.48,Port Brianmouth,9,,,339,175,54689.88
284,Apartment,252.42,Sold,1539571.17,North Ianville,25,1388,6682,180,134,
285,Studio,448.56,Available,782109.58,Port Kristen,23,6965,7634,399,176,20827.8
286,Villa,110.85,Reserved,2244874.0,North Davidland,9,,,112,139,45180.33
287,Apartment,78.84,Reserved,2455330.01,Jacksonstad,1,,,270,98,44395.78
288,Villa,387.97,Under Construction,167969.43,Bauerborough,1,,,179,18,31287.73
289,Apartment,324.92,Sold,1380219.13,South George,11,2058,2152,304,78,
290,Villa,311.66,Under Construction,2053791.46,Carrberg,22,,,279,49,23711.55
291,Villa,387.2,Sold,449144.46,Jenniferborough,16,2322,5192,127,91,
292,Commercial,147.42,Available,156196.77,Port Kevinton,1,,,215,3,23136.76
293,Apartment,192.66,Under Construction,2022912.96,Harrisshire,8,,,308,123,39881.58
294,Villa,216.24,Available,1647679.25,West Alexandrashire,12,,,314,28,5061.43
295,Apartment,109.81,Under Construction,1586022.25,East Sandra,7,,,400,34,39199.28
296,Villa,356.27,Sold,1037349.41,Herrerachester,9,1493,2378,36,118,
297,Villa,334.86,Reserved,1725751.81,Port Jamieshire,24,,,354,21,57876.82
298,Commercial,124.28,Available,1401614.93,Mejiastad,1,,,19,94,36902.34
299,Commercial,449.44,Sold,542901.15,Scottberg,0,2575,7310,319,7,
300,Commercial,252.14,Sold,898154.0,Mcdanielhaven,27,6167,3381,62,124,
301,Studio,253.25,Sold,618715.08,East Heatherfurt,29,312,2788,9,41,
302,Studio,54.76,Available,1452785.36,Lake Chadville,6,,,47,90,21479.55
303,Commercial,110.51,Sold,843642.14,Douglasbury,3,758,7327,242,134,
304,Villa,55.45,Under Construction,2378583.47,Markmouth,11,,,335,103,35706.58
305,Studio,373.13,Available,1086639.58,Williamshaven,13,,,124,109,54392.25
306,Studio,235.58,Reserved,1456166.04,Zavalahaven,21,,,198,163,30524.05
307,Apartment,339.31,Under Construction,1438307.39,Lake Larryborough,9,,,389,83,17752.74
308,Apartment,95.4,Reserved,1535004.75,Joneston,24,,,383,107,30372.44
309,Studio,74.83,Available,1019262.79,East Brianberg,7,,,198,162,31857.03
310,Studio,378.16,Reserved,236447.59,Johnside,19,,,88,144,22212.73
311,Commercial,376.4,Available,1638638.63,Hunterland,30,,,40,19,18817.58
312,Commercial,385.81,Available,1258569.27,North Tinastad,7,,,180,74,30904.41
313,Villa,440.28,Sold,2370435.43,Port William,7,961,3965,61,24,
314,Commercial,183.79,Under Construction,394418.87,Hernandezbury,23,,,27,112,20888.67
315,Studio,47.65,Reserved,100881.32,Vanessaberg,9,,,246,136,24940.28
316,Apartment,425.52,Available,2184825.49,Meganville,8,,,297,122,31663.68
317,Apartment,269.57,Available,64537.07,Port Sethmouth,7,,,21,54,14499.07
318,Apartment,45.28,Sold,1898621.86,Aimeefurt,12,3889,2318,37,132,
319,Villa,95.44,Sold,2179165.4,Meyersmouth,19,13,2461,237,103,
320,Studio,301.98,Reserved,612075.76,Kyleland,9,,,4,153,11147.78
321,Studio,295.46,Sold,2257050.6,Port Patrickstad,15,244,6136,226,109,
322,Apartment,333.12,Under Construction,903939.3,Smithstad,9,,,7,99,36068.25
323,Commercial,163.97,Available,2497916.44,North Jesse,0,,,23,89,45432.67
324,Villa,289.97,Available,1086984.9,South Jenniferstad,11,4571,7645,251,72,37852.83
325,Studio,176.77,Sold,120718.86,Port Wanda,3,4567,1315,227,79,
326,Apartment,198.96,Sold,2329678.01,West Michael,7,2377,3174,391,135,
327,Studio,294.91,Available,255691.47,East Jasonberg,17,,,333,47,53329.63
328,Studio,146.58,Under Construction,647235.26,East Jeffrey,10,,,75,101,19231.28
329,Villa,274.54,Sold,1384485.83,South Jonathanland,17,1685,1686,393,16,
330,Apartment,238.94,Reserved,1807965.32,Morrisview,15,,,246,159,20359.19
331,Apartment,359.56,Under Construction,479538.11,Thompsonmouth,9,,,390,54,47392.01
332,Apartment,310.48,Available,1723860.36,Lake Jeremy,0,,,204,56,29930.1
333,Studio,311.81,Sold,245502.76,East Reneetown,0,2582,6970,237,104,
334,Studio,388.39,Sold,186090.72,Davismouth,16,39,3597,220,130,
335,Commercial,96.73,Under Construction,1463134.79,Mckeemouth,19,,,31,124,44885.86
336,Villa,66.64,Available,2305873.79,West Lisa,17,,,75,28,58469.24
337,Apartment,286.47,Reserved,1229046.47,Hopkinsberg,19,1489,1985,56,30,45000.91
338,Villa,171.27,Sold,1258497.86,North Sonya,3,5908,6456,352,98,
339,Studio,415.2,Available,2391355.79,Port Juliabury,14,,,319,50,55770.01
340,Villa,143.92,Under Construction,619549.15,North Autumnhaven,21,,,198,66,19264.54
341,Apartment,218.14,Under Construction,819710.16,West Cynthiaberg,20,,,216,163,23704.34
